카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
3,,하례리 서성로입구 삼거리 동측,30,,064-710-8855,33.2598577,126.6392683,2018-04-30,6500000,제주특별자치도
3,,수망사거리 서측,30,,064-710-8855,33.3363905,126.6936269,2018-04-30,6500000,제주특별자치도
3,,수망사거리 북측,30,,064-710-8855,33.3485472,126.6997406,2018-04-30,6500000,제주특별자치도
3,,고수동 입구,30,,064-710-8855,33.3223141,126.7574802,2018-04-30,6500000,제주특별자치도
3,,신흥리 일주동로 대호편의점앞(토산방향),30,,064-710-8855,33.3065758,126.774871,2018-04-30,6500000,제주특별자치도
3,,가시리사거리방향,30,,064-710-8855,33.3602924,126.7656286,2018-04-30,6500000,제주특별자치도
3,,토산1리 토산세화로방향,30,,064-710-8855,33.3287708,126.7700924,2018-04-30,6500000,제주특별자치도
3,,세화로 154번지 도로변,30,,064-710-8855,33.3177401,126.7906443,2018-04-30,6500000,제주특별자치도
4,,수산리 삼거리,30,,064-710-8855,33.449011,126.8801155,2018-04-30,6500000,제주특별자치도
5,,수산사거리,30,,064-710-8855,33.443497,126.8842613,2018-04-30,6500000,제주특별자치도
4,,예래동체육공원 앞,30,,064-710-8855,33.2458255,126.3817257,2018-04-30,6500000,제주특별자치도
0,,세난질라 사거리,30,,064-710-8855,33.2547748,126.3229649,2018-04-30,6500000,제주특별자치도
5,,산방산(사계리),30,,064-710-8855,33.236066,126.2977867,2018-04-30,6500000,제주특별자치도
4,,자동차박물관,30,,064-710-8855,33.2818002,126.3539952,2018-04-30,6500000,제주특별자치도
2,,성일레미콘앞,30,,064-710-8855,33.2761431,126.333647,2018-04-30,6500000,제주특별자치도
2,,우성아파트(일도동),30,,064-710-8855,33.5056318,126.5537547,2018-04-30,6500000,제주특별자치도
2,,우성아파트(일도동),30,,064-710-8855,33.5056318,126.5537547,2018-04-30,6500000,제주특별자치도
4,,아라초등학교,30,,064-710-8855,33.4767254,126.5437275,2018-04-30,6500000,제주특별자치도
2,,관음사(제1산록도로입구 3가),30,,064-710-8855,33.4814162,126.4971265,2018-04-30,6500000,제주특별자치도
4,,거북이주유소(오라동),30,,064-710-8855,33.4995673,126.5037494,2018-04-30,6500000,제주특별자치도
5,,구엄리,30,,064-710-8855,33.4765671,126.3829222,2018-04-30,6500000,제주특별자치도
4,,무수천4가(평화로),30,,064-710-8855,33.4602029,126.4467148,2018-04-30,6500000,제주특별자치도
2,,통물식당(조천우회도로),30,,064-710-8855,33.5341109,126.6415109,2018-04-30,6500000,제주특별자치도
3,,토평사거리(5.16진입로),30,,064-710-8855,33.2844099,126.5796743,2018-04-30,6500000,제주특별자치도
3,,회수마을입구,30,,064-710-8855,33.2514303,126.4348243,2018-04-30,6500000,제주특별자치도
3,,오조리숯불갈비,30,,064-710-8855,33.4677397,126.9069123,2018-04-30,6500000,제주특별자치도
3,,덕수교차로,30,,064-710-8855,33.2506417,126.3044583,2018-04-30,6500000,제주특별자치도
2,,성읍민속마을입구,30,,064-710-8855,33.393771,126.7962403,2018-04-30,6500000,제주특별자치도
4,,JIBS맞은편,30,,064-710-8855,33.492998,126.5044564,2018-04-30,6500000,제주특별자치도
3,,이호해수욕장일주도로,30,,064-710-8855,33.4947944,126.452955,2018-04-30,6500000,제주특별자치도
3,,비석거리동측(서귀냉동앞),30,,064-710-8855,33.2563531,126.5825268,2018-04-30,6500000,제주특별자치도
3,,평화로 2산록도로(광평) 입구,30,,064-710-8855,33.3294189,126.3567077,2018-04-30,6500000,제주특별자치도
4,,영지학교,30,,064-710-8855,33.4887627,126.525768,2018-04-30,6500000,제주특별자치도
3,,대흘수자원,30,,064-710-8855,33.4986023,126.6527593,2018-04-30,6500000,제주특별자치도
4,,대흘사거리(검문소.남조로진입로),30,,064-710-8855,33.4695407,126.6599328,2018-04-30,6500000,제주특별자치도
3,,뉴월드골프타운(강정),30,,064-710-8855,33.2612121,126.5078062,2018-04-30,6500000,제주특별자치도
2,,무릉리(인향동입구),30,,064-710-8855,33.2729995,126.2449575,2018-04-30,6500000,제주특별자치도
3,,안성교차로,30,,064-710-8855,33.2493235,126.2821141,2018-04-30,6500000,제주특별자치도
5,,중앙교회 입구,30,,064-710-8855,33.2467496,126.5659838,2018-04-30,6500000,제주특별자치도
4,,중앙교회 후문,30,,064-710-8855,33.2467496,126.5659838,2018-04-30,6500000,제주특별자치도
4,,중앙교회 후문 골목,30,,064-710-8855,33.2467496,126.5659838,2018-04-30,6500000,제주특별자치도
3,,건입동사무소 1(현대아파트후문 동측),30,,064-710-8855,33.507841,126.5544024,2018-04-30,6500000,제주특별자치도
2,,건입동사무소 2(현대아파트 후문 북측),30,,064-710-8855,33.507841,126.5544024,2018-04-30,6500000,제주특별자치도
3,,제주향보쌈 앞(노형동),30,,064-710-8855,33.483098,126.4772312,2018-04-30,6500000,제주특별자치도
4,,태을갈비 앞(노형동),30,,064-710-8855,33.483098,126.4772312,2018-04-30,6500000,제주특별자치도
3,,한스델리 동측(노형동),30,,064-710-8855,33.4771889,126.4742632,2018-04-30,6500000,제주특별자치도
1,,사임당어린이집 앞 삼거리,30,,064-710-8855,33.4895045,126.511576,2018-04-30,6500000,제주특별자치도
1,,연삼로길(기아자동차 맞은편),30,,064-710-8855,33.4924679,126.511195,2018-04-30,6500000,제주특별자치도
1,,오라초 북동쪽(클린하우스),30,,064-710-8855,33.4222282,126.519245,2018-04-30,6500000,제주특별자치도
4,,세화1리 보건소입구,30,,064-710-8855,33.3318153,126.7980386,2018-04-30,6500000,제주특별자치도
2,,오라5거리진입로(크로바어린이집서측),30,,064-710-8855,33.4987516,126.5064613,2018-04-30,6500000,제주특별자치도
4,,용담로터리 서쪽,30,,064-710-8855,33.5113829,126.5179733,2018-04-30,6500000,제주특별자치도
3,,서문교회 서북쪽(예솔어린이집),30,,064-710-8855,33.5066873,126.5072378,2018-04-30,6500000,제주특별자치도
1,,보성시장입구 맞은편골목 광명여인숙 4거리,30,,064-710-8855,33.5025177,126.5274934,2018-04-30,6500000,제주특별자치도
3,,신산공원입구(국일건재쪽) 주차장,30,,064-710-8855,33.5050697,126.5310339,2018-04-30,6500000,제주특별자치도
1,,오현단 제주성지삼거리(다리건너기전),30,,064-710-8855,33.510035,126.5266655,2018-04-30,6500000,제주특별자치도
1,,오현길 병풍거리 아빠마트 4거리,30,,064-710-8855,33.5084285,126.526372,2018-04-30,6500000,제주특별자치도
1,,시민회관 앞 4거리,30,,064-710-8855,33.5084457,126.5254644,2018-04-30,6500000,제주특별자치도
5,,광양 태홍누리안2차아파트 4거리,30,,064-710-8855,33.5044853,126.5311706,2018-04-30,6500000,제주특별자치도
6,,학사로 고전떡볶이 5거리,30,,064-710-8855,33.4978014,126.5295612,2018-04-30,6500000,제주특별자치도
5,,신산시장아파트사거리(그린마트),30,,064-710-8855,33.5105404,126.542475,2018-04-30,6500000,제주특별자치도
0,,표선해비치해변,30,,064-710-8855,33.326494,126.831638,2018-04-30,6500000,제주특별자치도
5,,안성리치빌 사거리(삼춘네포차),30,,064-710-8855,33.496628,126.5374135,2018-04-30,6500000,제주특별자치도
4,,동백원룸 삼거리,30,,064-710-8855,33.4962654,126.5383848,2018-04-30,6500000,제주특별자치도
2,,도남 보덕사 북측(원당봉해장국 앞),30,,064-710-8855,33.4922878,126.5324474,2018-04-30,6500000,제주특별자치도
5,,만수탕4거리,30,,064-710-8855,33.5075961,126.5296093,2018-04-30,6500000,제주특별자치도
5,,생생반점4거리,30,,064-710-8855,33.511026,126.5380914,2018-04-30,6500000,제주특별자치도
2,,모이세해장국(삼도2동 북측),30,,064-710-8855,33.5120825,126.5222794,2018-04-30,6500000,제주특별자치도
2,,삼도제주보쌈 동측,30,,064-710-8855,33.5059615,126.5233865,2018-04-30,6500000,제주특별자치도
3,,예솔어린이집,30,,064-710-8855,33.5077546,126.5057868,2018-04-30,6500000,제주특별자치도
5,,해동웅이네식당입구 사거리(북촌리),30,,064-710-8855,33.5485184,126.684776,2018-04-30,6500000,제주특별자치도
4,,북촌초 후문 삼거리(북촌리),30,,064-710-8855,33.5492227,126.6923287,2018-04-30,6500000,제주특별자치도
4,,한사동입구 남쪽(북촌리),30,,064-710-8855,33.5471418,126.6986252,2018-04-30,6500000,제주특별자치도
3,,양천하동버스정류소(조천리),30,,064-710-8855,33.5165812,126.6467629,2018-04-30,6500000,제주특별자치도
4,,신산종합시장 삼거리,30,,064-710-8855,33.5054021,126.541614,2018-04-30,6500000,제주특별자치도
5,,민지네해장국 사거리,30,,064-710-8855,33.508601,126.542859,2018-04-30,6500000,제주특별자치도
4,,조마루감자탕 삼거리,30,,064-710-8855,33.5028762,126.5433263,2018-04-30,6500000,제주특별자치도
5,,올챙이어린이집 북측 이면도로,30,,064-710-8855,33.5109949,126.5353873,2018-04-30,6500000,제주특별자치도
5,,한림초 후문,30,,064-710-8855,33.4104503,126.2630205,2018-04-30,6500000,제주특별자치도
7,,한림읍사무소앞,30,,064-710-8855,33.410104,126.2670984,2018-04-30,6500000,제주특별자치도
5,,한림체육관 입구,30,,064-710-8855,33.4089702,126.2684786,2018-04-30,6500000,제주특별자치도
5,,한림종합운동장후문 입구,30,,064-710-8855,33.406728,126.2674353,2018-04-30,6500000,제주특별자치도
4,,정원원룸 남서측,30,,064-710-8855,33.510538,126.5133007,2018-04-30,6500000,제주특별자치도
5,,벽오동인근,30,,064-710-8855,33.4987805,126.5290751,2018-04-30,6500000,제주특별자치도
5,,시청정류소인근,30,,064-710-8855,33.4989293,126.5307492,2018-04-30,6500000,제주특별자치도
5,,학생문화원 서측,30,,064-710-8855,33.5007234,126.5410454,2018-04-30,6500000,제주특별자치도
4,,명신마을복지회관앞,30,,064-710-8855,33.500025,126.5009663,2018-04-30,6500000,제주특별자치도
5,,진영마트앞,30,,064-710-8855,33.5128997,126.5069727,2018-04-30,6500000,제주특별자치도
3,,용문사거리앞,30,,064-710-8855,33.5082641,126.5096847,2018-04-30,6500000,제주특별자치도
5,,용해로.용화로교차로(괸당네농수산앞),30,,064-710-8855,33.5098266,126.5033404,2018-04-30,6500000,제주특별자치도
8,,서중지하보도,30,,064-710-8855,33.4938443,126.4801744,2018-04-30,6500000,제주특별자치도
5,,일도2동-태원갈비,30,,064-710-8855,33.5098311,126.5011464,2018-04-30,6500000,제주특별자치도
5,,성환사라봉 아파트,30,,064-710-8855,33.5098311,126.5011464,2018-04-30,6500000,제주특별자치도
6,,복지회관앞 놀이터,30,,064-710-8855,33.5098311,126.5011464,2018-04-30,6500000,제주특별자치도
5,,성환사라봉 아파트,30,,064-710-8855,33.5098311,126.5011464,2018-04-30,6500000,제주특별자치도
7,,서귀포월드컵경기장,30,,064-710-8855,33.2472388,126.5092079,2018-04-30,6500000,제주특별자치도
7,,목관아지(내부),30,,064-710-8855,33.5144606,126.5230182,2018-04-30,6500000,제주특별자치도
9,,삼양선사유적지,30,,064-710-8855,33.5236286,126.5881806,2018-04-30,6500000,제주특별자치도
9,,항목유적지,30,,064-710-8855,33.4471389,126.4142746,2018-04-30,6500000,제주특별자치도
6,,동문시장,30,,064-710-8855,33.5135064,126.5282878,2018-04-30,6500000,제주특별자치도
7,,한림오일시장,30,,064-710-8855,33.4201519,126.2742341,2018-04-30,6500000,제주특별자치도
16,,서문시장,30,,064-710-8855,33.5095955,126.5137552,2018-04-30,6500000,제주특별자치도
10,,제주오일시장,30,,064-710-8855,33.4966201,126.4738154,2018-04-30,6500000,제주특별자치도
1,,한림매일시장,30,,064-710-8855,33.4167889,126.2647102,2018-04-30,6500000,제주특별자치도
22,,매일올레시장,30,,064-710-8855,33.2474794,126.5716501,2018-04-30,6500000,제주특별자치도
6,,고성오일시장내,30,,064-710-8855,33.4516959,126.9131348,2018-04-30,6500000,제주특별자치도
4,,관덕정(외부),30,,064-710-8855,33.5144606,126.5230182,2018-04-30,6500000,제주특별자치도
10,,대정오일시장(모슬포오일시장),30,,064-710-8855,33.220516,126.2483125,2018-04-30,6500000,제주특별자치도
4,,폴리텍대학 입구,30,,064-710-8855,33.4485958,126.5598236,2018-04-30,6500000,제주특별자치도
4,,영평상동복지회관 입구,30,,064-710-8855,33.476555,126.5682551,2018-04-30,6500000,제주특별자치도
4,,중앙여고 서측 후문,30,,064-710-8855,33.4912491,126.5403833,2018-04-30,6500000,제주특별자치도
4,,이도2동사무소 남측,30,,064-710-8855,33.496974,126.5360173,2018-04-30,6500000,제주특별자치도
4,,아람가든 인근,30,,064-710-8855,33.495332,126.5315825,2018-04-30,6500000,제주특별자치도
5,,명진자동차공업사 인근,30,,064-710-8855,33.4982592,126.5318656,2018-04-30,6500000,제주특별자치도
5,,제광교회옆 복개천,30,,064-710-8855,33.4984909,126.5276133,2018-04-30,6500000,제주특별자치도
4,,동남1차아파트 입구,30,,064-710-8855,33.5067081,126.5454995,2018-04-30,6500000,제주특별자치도
4,,대유대림아파트 입구,30,,064-710-8855,33.5021801,126.5516297,2018-04-30,6500000,제주특별자치도
5,,드림로드빌라 앞,30,,064-710-8855,33.5009906,126.5179847,2018-04-30,6500000,제주특별자치도
5,,뉴그린슈퍼 앞,30,,064-710-8855,33.5052925,126.5165952,2018-04-30,6500000,제주특별자치도
5,,르네상스호텔 앞,30,,064-710-8855,33.5050352,126.5178416,2018-04-30,6500000,제주특별자치도
5,,애향운동장 명동칼국수 앞,30,,064-710-8855,33.493807,126.5147499,2018-04-30,6500000,제주특별자치도
4,,큰숲어린이집 삼거리,30,,064-710-8855,33.4713123,126.4650497,2018-04-30,6500000,제주특별자치도
4,,제대마을 입구,30,,064-710-8855,33.4566209,126.5543324,2018-04-30,6500000,제주특별자치도
5,,밀레니엄아파트 뒤편,30,,064-710-8855,33.5123135,126.521465,2018-04-30,6500000,제주특별자치도
5,,무근성경로당 인근,30,,064-710-8855,33.5147344,126.5187665,2018-04-30,6500000,제주특별자치도
5,,꼬꼬마어린이집 앞,30,,064-710-8855,33.5091317,126.5146636,2018-04-30,6500000,제주특별자치도
5,,다모아마트 앞,30,,064-710-8855,33.5128922,126.5130161,2018-04-30,6500000,제주특별자치도
5,,헤르지아아파트사거리,30,,064-710-8855,33.5101179,126.5041652,2018-04-30,6500000,제주특별자치도
5,,용문마을,30,,064-710-8855,33.5078275,126.5077216,2018-04-30,6500000,제주특별자치도
4,,공영주차장 앞,30,,064-710-8855,33.4894381,126.491028,2018-04-30,6500000,제주특별자치도
5,,장수물식당앞 공원,30,,064-710-8855,33.4921297,126.4989299,2018-04-30,6500000,제주특별자치도
5,,중앙중 북측,30,,064-710-8855,33.4866325,126.5021095,2018-04-30,6500000,제주특별자치도
5,,제주도청 후문 사거리,30,,064-710-8855,33.4879842,126.4986302,2018-04-30,6500000,제주특별자치도
4,,신우수산 옆,30,,064-710-8855,33.4770468,126.4907189,2018-04-30,6500000,제주특별자치도
4,,리츠칼투어 앞,30,,064-710-8855,33.4777011,126.4881794,2018-04-30,6500000,제주특별자치도
4,,메르헨하우스 옆,30,,064-710-8855,33.4822044,126.4863313,2018-04-30,6500000,제주특별자치도
4,,원디자인건축앞,30,,064-710-8855,33.2723845,126.5900537,2018-04-30,6500000,제주특별자치도
4,,삼성여고앞,30,,064-710-8855,33.2844099,126.5796743,2018-04-30,6500000,제주특별자치도
5,,토평동다목적회관앞,30,,064-710-8855,33.2698671,126.5896445,2018-04-30,6500000,제주특별자치도
5,,서홍사거리,30,,064-710-8855,33.2638506,126.558431,2018-04-30,6500000,제주특별자치도
5,,동홍주공4단지입구,30,,064-710-8855,33.2484903,126.5722163,2018-04-30,6500000,제주특별자치도
5,,대호동홍아파트사거리,30,,064-710-8855,33.2566687,126.5698544,2018-04-30,6500000,제주특별자치도
5,,우성빌라앞사거리,30,,064-710-8855,33.2564882,126.5658524,2018-04-30,6500000,제주특별자치도
4,,조방칼국수옆,30,,064-710-8855,33.2498932,126.5645427,2018-04-30,6500000,제주특별자치도
5,,서귀포대정식당앞,30,,064-710-8855,33.2521766,126.5599115,2018-04-30,6500000,제주특별자치도
4,,야한주방 앞,30,,064-710-8855,33.2412042,126.5616343,2018-04-30,6500000,제주특별자치도
5,,마이호텔앞,30,,064-710-8855,33.2408733,126.5631225,2018-04-30,6500000,제주특별자치도
5,,아리스호텔옆사거리,30,,064-710-8855,33.2431554,126.5647655,2018-04-30,6500000,제주특별자치도
5,,대림빌라옆,30,,064-710-8855,33.2460867,126.5696384,2018-04-30,6500000,제주특별자치도
4,,우생당뒷골목,30,,064-710-8855,33.2478074,126.564507,2018-04-30,6500000,제주특별자치도
4,,행복예감입구,30,,064-710-8855,33.247447,126.5678146,2018-04-30,6500000,제주특별자치도
5,,새마을금고 앞,30,,064-710-8855,33.2511482,126.5109453,2018-04-30,6500000,제주특별자치도
5,,돌아온놀부네 사거리,30,,064-710-8855,33.2527851,126.5119659,2018-04-30,6500000,제주특별자치도
5,,유진철물공구 앞,30,,064-710-8855,33.2613306,126.5296348,2018-04-30,6500000,제주특별자치도
4,,부영사랑으로 동측,30,,064-710-8855,33.2784399,126.5169922,2018-04-30,6500000,제주특별자치도
4,,서귀여고 앞,30,,064-710-8855,33.2434037,126.5335756,2018-04-30,6500000,제주특별자치도
4,,엉또다리 인근,30,,064-710-8855,33.2673492,126.4970261,2018-04-30,6500000,제주특별자치도
5,,강정제1호공원 인근,30,,064-710-8855,33.2615636,126.49447,2018-04-30,6500000,제주특별자치도
4,,문화2공원인근,30,,064-710-8855,33.2615636,126.49447,2018-04-30,6500000,제주특별자치도
5,,농협앞,30,,064-710-8855,33.2372166,126.5125205,2018-04-30,6500000,제주특별자치도
4,,제2회수교 입구,30,,064-710-8855,33.2611288,126.4530404,2018-04-30,6500000,제주특별자치도
4,,색달입구교차로,30,,064-710-8855,33.2583304,126.4040468,2018-04-30,6500000,제주특별자치도
4,,대포마을복지회관옆,30,,064-710-8855,33.2425608,126.4321814,2018-04-30,6500000,제주특별자치도
5,,회수입구교차로,30,,064-710-8855,33.2556562,126.4348921,2018-04-30,6500000,제주특별자치도
5,,회수사거리,30,,064-710-8855,33.2631586,126.4436829,2018-04-30,6500000,제주특별자치도
4,,정도시락 서측,30,,064-710-8855,33.5126134,126.5426615,2018-04-30,6500000,제주특별자치도
5,,한진수학학원앞,30,,064-710-8855,33.5078035,126.5456544,2018-04-30,6500000,제주특별자치도
4,,화남경로당 앞,30,,064-710-8855,33.5117173,126.5606277,2018-04-30,6500000,제주특별자치도
5,,분선동사거리,30,,064-710-8855,33.5379253,126.6395241,2018-04-30,6500000,제주특별자치도
3,,한동초교뒤,30,,064-710-8855,33.5384317,126.8301956,2018-04-30,6500000,제주특별자치도
5,,오조리사거리,30,,064-710-8855,33.4622852,126.9108448,2018-04-30,6500000,제주특별자치도
4,,수산초교입구서측,30,,064-710-8855,33.4496245,126.8874784,2018-04-30,6500000,제주특별자치도
4,,용눈이팬션앞,30,,064-710-8855,33.4469109,126.8874087,2018-04-30,6500000,제주특별자치도
5,,생태체험센터앞,30,,064-710-8855,33.4388548,126.8626456,2018-04-30,6500000,제주특별자치도
5,,난산사거리,30,,064-710-8855,33.4027714,126.8648822,2018-04-30,6500000,제주특별자치도
5,,신풍리민관앞,30,,064-710-8855,33.3609638,126.8357809,2018-04-30,6500000,제주특별자치도
4,,해녀의집옆,30,,064-710-8855,33.3758473,126.8762171,2018-04-30,6500000,제주특별자치도
3,,한마음초동쪽,30,,064-710-8855,33.3537598,126.8198419,2018-04-30,6500000,제주특별자치도
4,,썬마트앞,30,,064-710-8855,33.3225332,126.8228665,2018-04-30,6500000,제주특별자치도
4,,정환빌라앞,30,,064-710-8855,33.3242649,126.8347623,2018-04-30,6500000,제주특별자치도
4,,로드카페서측,30,,064-710-8855,33.2752746,126.6943436,2018-04-30,6500000,제주특별자치도
5,,제주산지유통센터북측,30,,064-710-8855,33.2704684,126.6235879,2018-04-30,6500000,제주특별자치도
5,,농산물관리원서귀사무소입구,30,,064-710-8855,33.267062,126.6139154,2018-04-30,6500000,제주특별자치도
4,,신효미용실앞,30,,064-710-8855,33.2638048,126.6141106,2018-04-30,6500000,제주특별자치도
4,,대신조립식건축앞 삼거리,30,,064-710-8855,33.2700002,126.6131809,2018-04-30,6500000,제주특별자치도
5,,신제주성당북측,30,,064-710-8855,33.4927602,126.4926479,2018-04-30,6500000,제주특별자치도
4,,45호어린이공원,30,,064-710-8855,33.4922346,126.486585,2018-04-30,6500000,제주특별자치도
5,,낙지로 앞,30,,064-710-8855,33.4888428,126.494786,2018-04-30,6500000,제주특별자치도
4,,국민연립 동측,30,,064-710-8855,33.4771889,126.4742632,2018-04-30,6500000,제주특별자치도
5,,근린공원 입구,30,,064-710-8855,33.4817774,126.4142009,2018-04-30,6500000,제주특별자치도
4,,보로미마을 복지회관 옆,30,,064-710-8855,33.4657529,126.4097405,2018-04-30,6500000,제주특별자치도
4,,길하우스 삼거리,30,,064-710-8855,33.4547019,126.4403446,2018-04-30,6500000,제주특별자치도
4,,두인빌리지 삼거리,30,,064-710-8855,33.4242126,126.4043937,2018-04-30,6500000,제주특별자치도
5,,소길교차로_면허시험장입구,30,,064-710-8855,33.4059987,126.3878192,2018-04-30,6500000,제주특별자치도
4,,감귤선과장삼거리,30,,064-710-8855,33.4159948,126.3329542,2018-04-30,6500000,제주특별자치도
4,,다락쉼터 공중화장실앞,30,,064-710-8855,33.4699842,126.3403826,2018-04-30,6500000,제주특별자치도
4,,제주하늘푸른바다펜션,30,,064-710-8855,33.4622909,126.3125751,2018-04-30,6500000,제주특별자치도
5,,영신아파트사거리,30,,064-710-8855,33.4108734,126.2638378,2018-04-30,6500000,제주특별자치도
5,,보건소삼거리,30,,064-710-8855,33.4119244,126.2685952,2018-04-30,6500000,제주특별자치도
5,,대호베리골아파트사거리,30,,064-710-8855,33.4140301,126.2691565,2018-04-30,6500000,제주특별자치도
4,,한수리사무소,30,,064-710-8855,33.4208672,126.2637948,2018-04-30,6500000,제주특별자치도
5,,월령리사무소 입구(월령슈퍼낚시앞)),30,,064-710-8855,33.3750804,126.2162659,2018-04-30,6500000,제주특별자치도
5,,보성초교입구교차로(보성농협앞),30,,064-710-8855,33.2476622,126.2768601,2018-04-30,6500000,제주특별자치도
