BIZ_UNIT,PD_S_C,PD_S_NM,PD_M_NM,PD_H_NM
A04,251,청주,곡주,전통주
A04,252,약주,곡주,전통주
A04,253,과실주,곡주,전통주
A04,254,일반선물세트,선물세트,전통주
A04,255,위스키,양주,양주와인
A04,256,기타양주,양주,양주와인
A04,257,레드,와인,양주와인
A04,258,화이트,와인,양주와인
A04,259,샴페인,와인,양주와인
A04,260,소품,와인,양주와인
A04,261,리쿼,리쿼,양주와인
A04,262,일반선물세트,선물세트,양주와인
A04,263,콜라(소),탄산음료,음료
A04,264,콜라(중),탄산음료,음료
A04,265,콜라(대),탄산음료,음료
A04,266,사이다(소),탄산음료,음료
A04,267,사이다(중),탄산음료,음료
A04,268,사이다(대),탄산음료,음료
A04,269,과일향탄산(소),탄산음료,음료
A04,270,과일향탄산(중),탄산음료,음료
A04,271,과일향탄산(대),탄산음료,음료
A04,272,캔커피(소),커피음료,음료
A04,273,캔커피(NB),커피음료,음료
A04,274,병커피,커피음료,음료
A04,275,기타,커피음료,음료
A04,276,옥수수차,차음료,음료
A04,277,보리차,차음료,음료
A04,278,녹차,차음료,음료
A04,279,홍차,차음료,음료
A04,280,기타차,차음료,음료
A04,281,전통음료(소),전통음료,음료
A04,282,전통음료(중),전통음료,음료
A04,283,전통음료(대),전통음료,음료
A04,284,주스(소병),주스,음료
A04,285,주스(소캔),주스,음료
A04,286,주스(중),주스,음료
A04,287,주스(대),주스,음료
A04,288,500ml이하,생수,음료
A04,289,1000ml이상,생수,음료
A04,290,프리미엄생수,생수,음료
A04,291,스포츠음료(소),스포츠음료,음료
A04,292,스포츠음료(중),스포츠음료,음료
A04,293,스포츠음료(대),스포츠음료,음료
A04,294,차음료선물세트,선물세트,음료
A04,295,주스선물세트,선물세트,음료
A04,296,숙취해소음료,기능성드링크,음료
A04,297,비타민음료,기능성드링크,음료
A04,298,건강음료,기능성드링크,음료
A04,299,홍삼음료,기능성드링크,음료
A04,300,보건드링크,기능성드링크,음료
A04,301,선물세트,기능성드링크,음료
A04,302,에너지음료,기능성드링크,음료
A04,303,바,노벨티,아이스크림
A04,304,콘,노벨티,아이스크림
A04,305,컵,노벨티,아이스크림
A04,306,모나카,노벨티,아이스크림
A04,307,펜슬,노벨티,아이스크림
A04,308,기타,노벨티,아이스크림
A04,309,카톤,홈타입,아이스크림
A04,310,멀티,홈타입,아이스크림
A04,311,바,고급,아이스크림
A04,312,컵,고급,아이스크림
A04,313,파인트,고급,아이스크림
A04,314,케익,고급,아이스크림
A04,315,구슬아이스,고급,아이스크림
A04,316,봉지만두,냉동만두,냉동
A04,317,트레이만두,냉동만두,냉동
A04,318,냉동면,냉동면밥류,냉동
A04,319,냉동밥,냉동면밥류,냉동
A04,320,냉동간식류,냉동면밥류,냉동
A04,321,냉동육류,냉동기타,냉동
A04,322,냉동얼음,냉동기타,냉동
A04,323,선물세트,냉동기타,냉동
A04,324,KT&G,국산담배,담배
A04,325,BAT,외산담배,담배
A04,326,PMI,외산담배,담배
A04,327,JTI,외산담배,담배
A04,328,시가,외산담배,담배
A04,329,직수입,외산담배,담배
A04,330,복권,일반서비스,서비스 상품
A04,331,교통카드판매,일반서비스,서비스 상품
A04,332,MVNO,일반서비스,서비스 상품
A04,333,문화상품권,유가증권,서비스 상품
A04,334,쓰레기봉투,쓰레기봉투,서비스 상품
A04,335,카네이션,기타,서비스 상품
A04,336,여성지,잡지,서적/음반
A04,337,시사/교양지,잡지,서적/음반
A04,338,퍼즐지,잡지,서적/음반
A04,339,성인지,잡지,서적/음반
A04,340,아동,단행본,서적/음반
A03,171,삼치,선어류,수산
A04,342,유아용서적(직배),특수점서적,서적/음반
A04,343,종합일간지,일간신문,신문
A04,344,스포츠지,일간신문,신문
A04,345,경제지,일간신문,신문
A04,346,영자신문,일간신문,신문
A04,347,일요신문,주간신문,신문
A04,348,경마지,경마지,신문
A04,349,미용 소도구,미용소품,미용/화장품
A04,350,액세서리,미용소품,미용/화장품
A04,351,기타소품,미용소품,미용/화장품
A04,352,무스,헤어스타일링,미용/화장품
A04,353,스프레이,헤어스타일링,미용/화장품
A04,354,젤,헤어스타일링,미용/화장품
A04,355,왁스,헤어스타일링,미용/화장품
A04,356,케어/염모제,헤어스타일링,미용/화장품
A04,357,기초화장품,여성화장품,미용/화장품
A04,358,크림,여성화장품,미용/화장품
A04,359,클렌징,여성화장품,미용/화장품
A04,360,바디용품,여성화장품,미용/화장품
A04,361,색조/메이크업,여성화장품,미용/화장품
A04,362,립케어,여성화장품,미용/화장품
A04,363,시즌 화장품,여성화장품,미용/화장품
A04,364,기초화장품,남성화장품,미용/화장품
A04,365,클렌징,남성화장품,미용/화장품
A04,366,일반치약,치약,H&B
A04,367,액상치약,치약,H&B
A04,368,어린이용,치약,H&B
A04,369,일반모,칫솔,H&B
A04,370,미세모,칫솔,H&B
A04,371,어린이용칫솔,칫솔,H&B
A04,372,치실/치간칫솔,칫솔,H&B
A04,373,칫솔치약세트,치약칫솔세트,H&B
A04,374,샴푸,샴푸/린스,H&B
A04,375,린스,샴푸/린스,H&B
A04,376,고형비누,화장비누/바디클렌저,H&B
A04,377,액체비누,화장비누/바디클렌저,H&B
A04,378,바디클렌저,화장비누/바디클렌저,H&B
A04,379,여행용상품,여행용상품,H&B
A04,380,소용량상품,여행용상품,H&B
A04,381,면도기,면도용품,H&B
A04,382,면도날,면도용품,H&B
A04,383,일회용면도기,면도용품,H&B
A04,384,쉐이빙폼,면도용품,H&B
A04,385,일반선물세트,선물세트,H&B
A04,386,에어졸,살충제,가정용품
A04,387,매트/훈증기,살충제,가정용품
A04,388,모기향,살충제,가정용품
A04,389,방충제,살충제,가정용품
A04,390,기피제,살충제,가정용품
A04,391,방향제,방향제,가정용품
A04,392,탈취제,방향제,가정용품
A04,393,세탁세제,세제류,가정용품
A04,394,주방세제,세제류,가정용품
A04,395,청소세제,세제류,가정용품
A04,396,섬유유연제,세제류,가정용품
A04,397,표백제,세제류,가정용품
A04,398,수세미/행주류,주방용품,가정용품
A04,399,조리기구/소모품,주방용품,가정용품
A04,400,랩/호일,주방용품,가정용품
A04,401,종이컵,행락용품,가정용품
A04,402,일회용용기,행락용품,가정용품
A04,403,젓가락/스푼,행락용품,가정용품
A04,404,레져시트/기타,행락용품,가정용품
A04,405,목욕타올,타올/욕실용품,가정용품
A04,406,테이프류,청소/작업용품,가정용품
A04,407,장갑류,청소/작업용품,가정용품
A04,408,기타,청소/작업용품,가정용품
A04,409,다이소균일가상품,다이소 균일가,가정용품
A04,410,팬티스타킹,스타킹,언더웨어
A04,411,판타롱스타킹,스타킹,언더웨어
A04,412,풋커버/앵클삭스,스타킹,언더웨어
A04,413,타이즈/레깅스,스타킹,언더웨어
A04,414,남성양말,양말,언더웨어
A04,415,여성양말,양말,언더웨어
A04,416,상권특화(캐릭터양말),양말,언더웨어
A04,417,남성팬티,팬티/내의,언더웨어
A04,418,여성팬티,팬티/내의,언더웨어
A04,419,내의류,팬티/내의,언더웨어
A04,420,손수건/타올,시즌/소품,언더웨어
A04,421,계절용품,시즌/소품,언더웨어
A04,422,기타,시즌/소품,언더웨어
A04,423,일반선물세트,선물세트,언더웨어
A04,424,소형,생리대,위생용품
A04,425,중형,생리대,위생용품
A04,426,대형,생리대,위생용품
A04,427,팬티라이너,생리대,위생용품
A04,428,탐폰,생리대,위생용품
A04,429,4P,생리대,위생용품
A04,430,박스티슈,티슈,위생용품
A04,431,여행용티슈,티슈,위생용품
A04,432,물티슈,티슈,위생용품
A04,433,롤티슈,티슈,위생용품
A04,434,유아용,기저귀,위생용품
A04,435,렌즈용품,의약외품,약품/의료품
A04,436,콘돔,의약외품,약품/의료품
A04,437,밴드용품,의약외품,약품/의료품
A04,438,응급위생용품,의약외품,약품/의료품
A04,439,의약외품,의약외품,약품/의료품
A04,440,마스크/시즌,의약외품,약품/의료품
A04,441,마사지젤,의약외품,약품/의료품
A04,442,병원용품,병원용품,약품/의료품
A04,443,해열진통제,안전상비의약품,약품/의료품
A04,444,소화제,안전상비의약품,약품/의료품
A04,445,감기약,안전상비의약품,약품/의료품
A04,446,파스,안전상비의약품,약품/의료품
A04,447,임신배란테스트기,의료기기,약품/의료품
A04,448,AA사이즈,건전지,일용잡화
A04,449,AAA사이즈,건전지,일용잡화
A04,450,기타사이즈,건전지,일용잡화
A04,451,3단우산,우산,일용잡화
A04,452,2단우산,우산,일용잡화
A04,453,장우산,우산,일용잡화
A04,454,일회용우산,우산,일용잡화
A04,455,우비,우산,일용잡화
A04,456,조명기구,전기/공구,일용잡화
A04,457,배선기구,전기/공구,일용잡화
A04,458,라이터,담배관련용품,일용잡화
A04,459,소품,담배관련용품,일용잡화
A04,460,금연보조용품,담배관련용품,일용잡화
A04,461,카드,취미/애완용품,일용잡화
A04,462,화투,취미/애완용품,일용잡화
A04,463,카메라/필름,취미/애완용품,일용잡화
A04,464,애완푸드,취미/애완용품,일용잡화
A04,465,애완용품(직배),취미/애완용품,일용잡화
A04,466,CD,휴대폰/주변기기,일용잡화
A04,467,메모리카드,휴대폰/주변기기,일용잡화
A04,468,이어폰/이어셋,휴대폰/주변기기,일용잡화
A04,469,스마트폰 액세서리(구전산소품),휴대폰/주변기기,일용잡화
A04,470,자동차용품,자동차용품,일용잡화
A04,471,연필/샤프/샤프심,필기용품,문구/팬시
A04,472,수성펜,필기용품,문구/팬시
A04,473,유성펜,필기용품,문구/팬시
A04,474,중성펜,필기용품,문구/팬시
A04,475,형광펜,필기용품,문구/팬시
A04,476,수정펜/지우개,필기용품,문구/팬시
A04,477,후크형 필기구,필기용품,문구/팬시
A04,478,자/풀,학용품,문구/팬시
A04,479,칼/가위,학용품,문구/팬시
A04,480,테이프,학용품,문구/팬시
A04,481,일반사무용품,사무용품,문구/팬시
A04,482,복사용지/라벨,사무용품,문구/팬시
A04,483,접착제,사무용품,문구/팬시
A04,484,사무정리용품,사무용품,문구/팬시
A04,485,초등노트,노트/봉투,문구/팬시
A04,486,일반노트,노트/봉투,문구/팬시
A04,487,수첩메모,노트/봉투,문구/팬시
A04,488,봉투류,노트/봉투,문구/팬시
A04,489,노트류기타,노트/봉투,문구/팬시
A04,490,축하카드,팬시,문구/팬시
A04,491,쇼핑백/포장지,팬시,문구/팬시
A04,492,팬시용품,팬시,문구/팬시
A04,493,일반완구,아동완구,완구
A04,494,캡슐완구,아동완구,완구
A04,495,스티커,아동완구,완구
A04,496,폭죽용품,폭죽/파티,완구
A04,497,파티용품,폭죽/파티,완구
A04,498,여름/겨울,계절완구,완구
A04,499,행사상품,계절완구,완구
A04,500,일반완구(직배),특수점완구,완구
A04,501,한강점포(직배),특수점완구,완구
A04,502,관광상품(직배),특수점완구,완구
A04,503,해변용품(직배),특수점완구,완구
A04,504,슬러피원액,판매용소모품,소모품
A04,505,커피원액,판매용소모품,소모품
A04,506,기타판매용소모품,판매용소모품,소모품
A04,507,소모용포장지,소모용포장지,소모품
A04,508,공병공박스,공병공박스,공병공박스
A04,509,소주공병,주류공병,공병공박스
A04,510,맥주공병,주류공병,공병공박스
A04,511,봉투보증금,봉투보증금,기타
A03,1,일반미,양곡,곡물
A03,2,기능성미,양곡,곡물
A03,3,즉석도정미,양곡,곡물
A03,4,보리,잡곡,곡물
A03,5,현미,잡곡,곡물
A03,6,찹쌀,잡곡,곡물
A03,7,흑미,잡곡,곡물
A03,854,기타이미용가전,전기전자,생활잡화
A03,514,냉장과일야채음료,냉장음료,낙농
A03,515,냉장곡물견과음료,냉장음료,낙농
A03,516,푸딩/젤리,냉장간식MS,MS
A03,517,빵/케이크,냉장간식MS,MS
A03,518,절임반찬,냉장기타MS,MS
A03,519,김치류,냉장농산,냉장
A03,520,조림반찬,냉장기타MS,MS
A03,521,볶음반찬,냉장기타MS,MS
A02,731,가정보수용품,보수용품,조명/보수
A02,732,에너지절약용품,보수용품,조명/보수
A02,733,접착제,보수용품,조명/보수
A02,734,페인트,보수용품,조명/보수
A02,735,포장/이사용품,보수용품,조명/보수
A02,736,공구함,공구,조명/보수
A02,737,수공구,공구,조명/보수
A02,738,전동공구,공구,조명/보수
A02,739,철물공구,공구,조명/보수
A02,740,건전지,건전지,조명/보수
A02,741,충전지,건전지,조명/보수
A02,742,특수전지,건전지,조명/보수
A02,743,냉동계육,닭고기,닭고기
A02,744,오골계,닭고기,닭고기
A02,745,훈제계육,닭고기,닭고기
A02,746,국산굴비,굴비,굴비/반건생선
A02,747,수입굴비,굴비,굴비/반건생선
A02,748,과메기,반건생선,굴비/반건생선
A02,749,기타반건생선,반건생선,굴비/반건생선
A02,750,반건가자미,반건생선,굴비/반건생선
A02,751,반건갈치,반건생선,굴비/반건생선
A02,752,반건고등어,반건생선,굴비/반건생선
A02,753,반건오징어,반건생선,굴비/반건생선
A02,754,반건임연수어,반건생선,굴비/반건생선
A02,755,반건제수생선,반건생선,굴비/반건생선
A02,756,코다리,반건생선,굴비/반건생선
A02,757,굴비세트,굴비/반건생선선물세트,굴비/반건생선
A02,758,기타해초류,해초,해물연체류
A02,759,다시마,해초,해물연체류
A02,760,매생이,해초,해물연체류
A02,761,미역,해초,해물연체류
A02,762,톳,해초,해물연체류
A02,763,파래,해초,해물연체류
A02,764,포장해초류,해초,해물연체류
A02,765,개조개,조개,해물연체류
A02,766,골뱅이,조개,해물연체류
A02,767,기타조개,조개,해물연체류
A02,768,꼬막,조개,해물연체류
A02,769,모시조개,조개,해물연체류
A02,770,바지락,조개,해물연체류
A02,771,생합,조개,해물연체류
A02,772,석화,조개,해물연체류
A02,773,소라,조개,해물연체류
A02,774,전복,조개,해물연체류
A02,775,키조개,조개,해물연체류
A02,776,피홍합,조개,해물연체류
A02,777,곤이,조개살,해물연체류
A02,778,관자살,조개살,해물연체류
A02,779,기타조개살,조개살,해물연체류
A02,780,논우렁살,조개살,해물연체류
A02,781,멍게,조개살,해물연체류
A02,782,명태알,조개살,해물연체류
A02,783,미더덕,조개살,해물연체류
A02,784,바지락살,조개살,해물연체류
A02,785,새우살,조개살,해물연체류
A02,786,생굴,조개살,해물연체류
A02,787,오만둥이,조개살,해물연체류
A02,788,해삼,조개살,해물연체류
A02,789,홍합살,조개살,해물연체류
A02,790,갑오징어,연체,해물연체류
A02,791,기타연체류,연체,해물연체류
A02,792,낙지,연체,해물연체류
A02,793,문어,연체,해물연체류
A02,794,주꾸미,연체,해물연체류
A02,795,해파리,연체,해물연체류
A02,796,기타새우,새우,해물연체류
A02,797,블랙타이거,새우,해물연체류
A02,798,흰다리새우,새우,해물연체류
A02,799,기타해물선물세트,해물선물세트,해물연체류
A02,800,전복선물세트,해물선물세트,해물연체류
A02,801,동해안건오징어,건오징어,마른안주
A02,802,반건오징어,건오징어,마른안주
A02,803,울릉도건오징어,건오징어,마른안주
A02,804,원양산건오징어,건오징어,마른안주
A02,805,백진미,조미오징어,마른안주
A02,806,홍진미,조미오징어,마른안주
A02,807,"훈제,구이진미",조미오징어,마른안주
A02,808,국산육포,육포,마른안주
A02,809,"돈,닭,치즈육포",육포,마른안주
A02,810,수입산육포,육포,마른안주
A02,811,구운쥐치포,쥐치포,마른안주
A02,812,어포류,쥐치포,마른안주
A02,813,쥐치포,쥐치포,마른안주
A02,814,육포세트,마른안주선물세트,마른안주
A02,815,국물용멸치,멸치,"멸치,황태,미역"
A02,816,볶음용멸치,멸치,"멸치,황태,미역"
A02,817,볶음조림용멸치,멸치,"멸치,황태,미역"
A02,818,"새우,홍합",멸치,"멸치,황태,미역"
A02,819,국물팩,천연조미료,"멸치,황태,미역"
A02,820,어간장,천연조미료,"멸치,황태,미역"
A02,821,원물가루,천연조미료,"멸치,황태,미역"
A02,822,황태채,황태,"멸치,황태,미역"
A02,823,황태포,황태,"멸치,황태,미역"
A02,824,다시마,미역/다시마,"멸치,황태,미역"
A02,825,미역,미역/다시마,"멸치,황태,미역"
A02,826,멸치세트,멸치황태미역선물세트,"멸치,황태,미역"
A02,827,황태세트,멸치황태미역선물세트,"멸치,황태,미역"
A02,828,김밥김,마른김,김
A02,829,마른김,마른김,김
A02,830,식탁김,조미김,김
A02,831,외국인특화김,조미김,김
A02,832,전장김,조미김,김
A02,833,김가공품,김가공품,김
A02,834,김자반,김가공품,김
A02,835,부각,김가공품,김
A02,836,김선물세트,김선물세트,김
A02,837,한우곰거리,일반한우,한우
A02,838,한우등심,일반한우,한우
A02,839,한우안심,일반한우,한우
A02,840,한우양지,일반한우,한우
A02,841,한우정육,일반한우,한우
A02,842,한우채끝,일반한우,한우
A02,843,한우특수부위,일반한우,한우
A02,844,한우규격,일반한우,한우
A02,845,한우냉동선물세트,한우선물세트,한우
A02,846,한우냉장선물세트,한우선물세트,한우
A02,847,산지한우,브랜드한우,한우
A02,848,순한한우,브랜드한우,한우
A02,849,진심한우,브랜드한우,한우
A02,850,미국산냉동소고기,미국산소고기,수입육
A02,851,미국산초이스등급소고기,미국산소고기,수입육
A02,852,미국산프라임등급소고기,미국산소고기,수입육
A02,853,호주산곡물비육,호주산소고기,수입육
A02,854,호주산냉동소고기,호주산소고기,수입육
A02,855,호주산목초비육,호주산소고기,수입육
A02,856,호주산와규,호주산소고기,수입육
A02,857,호주산흑소,호주산소고기,수입육
A02,858,수입냉동선물세트,수입육선물세트,수입육
A02,859,수입냉장선물세트,수입육선물세트,수입육
A02,860,맥시코산돼지고기,수입돼지고기,수입육
A02,861,미국산돼지고기,수입돼지고기,수입육
A02,862,유럽산돼지고기,수입돼지고기,수입육
A02,863,호주산돼지고기,수입돼지고기,수입육
A02,864,뉴질랜드산소고기,기타국소고기,수입육
A02,865,기타국소고기,기타국소고기,수입육
A02,866,캐나다산소고기,기타국소고기,수입육
A02,867,일반오리,오리고기,닭고기
A02,868,훈제오리,오리고기,닭고기
A02,869,닭/오리양념육,양념육,양념육가공
A02,870,돼지양념육,양념육,양념육가공
A02,871,소양념육,양념육,양념육가공
A02,872,돈가스,육가공품,양념육가공
A02,873,소시지,육가공품,양념육가공
A02,874,스테이크,육가공품,양념육가공
A02,875,햄류,육가공품,양념육가공
