ID,GENDER,AGE_PRD,HOM_PST_NO
216,2,60PRD,20
217,1,60PRD,55
218,2,60PRD,30
219,2,60PRD,77
220,2,60PRD,17
221,2,60PRD,50
222,1,60PRD,13
223,2,60PRD,52
224,1,60PRD,58
225,1,60PRD,20
226,2,60PRD,55
227,2,60PRD,120
228,2,60PRD,140
229,2,60PRD,74
230,2,60PRD,470
231,2,60PRD,56
232,2,60PRD,52
233,2,60PRD,70
234,2,60PRD,610
235,1,60PRD,460
236,2,60PRD,73
237,2,60PRD,80
238,2,60PRD,55
239,2,60PRD,20
240,1,60PRD,21
241,1,60PRD,27
242,2,60PRD,55
243,1,60PRD,160
244,1,60PRD,490
245,2,60PRD,460
246,1,60PRD,16
247,1,60PRD,49
248,1,60PRD,480
249,2,60PRD,480
250,2,60PRD,52
251,1,60PRD,53
252,2,60PRD,110
253,2,60PRD,73
254,1,60PRD,490
255,1,60PRD,63
256,2,60PRD,25
257,2,60PRD,100
258,1,60PRD,480
259,2,60PRD,65
260,2,60PRD,470
261,1,60PRD,33
262,2,60PRD,33
263,1,60PRD,56
264,1,60PRD,57
265,2,60PRD,280
266,2,60PRD,
267,1,60PRD,440
268,2,60PRD,57
269,2,60PRD,
270,1,60PRD,40
271,2,60PRD,58
272,2,60PRD,460
273,2,60PRD,60
274,1,60PRD,130
275,1,60PRD,480
276,2,60PRD,13
277,1,60PRD,480
278,2,60PRD,34
279,2,60PRD,250
280,2,60PRD,65
281,1,60PRD,270
282,1,60PRD,440
283,2,60PRD,350
284,1,60PRD,120
285,1,60PRD,40
286,2,60PRD,
287,2,60PRD,87
288,2,60PRD,83
289,2,60PRD,21
290,2,60PRD,480
291,1,60PRD,55
292,1,60PRD,47
293,2,60PRD,49
294,2,60PRD,630
295,1,60PRD,56
296,2,60PRD,62
297,2,60PRD,440
298,2,60PRD,510
299,1,60PRD,100
300,2,60PRD,33
301,1,60PRD,140
302,2,60PRD,130
303,1,60PRD,610
304,2,60PRD,67
305,2,60PRD,55
306,2,60PRD,62
307,2,60PRD,55
308,1,60PRD,140
309,2,60PRD,150
310,2,60PRD,610
311,2,60PRD,33
312,2,60PRD,460
313,1,60PRD,400
314,2,60PRD,480
315,1,60PRD,460
316,1,60PRD,55
317,1,60PRD,150
318,2,60PRD,56
319,1,60PRD,470
320,2,60PRD,55
321,2,60PRD,440
322,2,60PRD,55
323,1,60PRD,610
324,2,60PRD,400
325,1,60PRD,56
326,1,60PRD,0
327,1,60PRD,55
328,2,60PRD,47
329,2,60PRD,57
330,1,60PRD,130
331,2,60PRD,55
332,1,60PRD,540
333,1,60PRD,12
334,2,60PRD,56
335,2,60PRD,130
336,1,60PRD,56
337,1,60PRD,58
338,1,60PRD,37
339,1,60PRD,57
340,2,60PRD,480
341,1,60PRD,43
342,1,60PRD,440
343,2,60PRD,130
344,1,60PRD,540
345,1,60PRD,75
346,2,60PRD,470
347,2,60PRD,16
348,2,60PRD,36
349,2,60PRD,
350,2,60PRD,140
351,1,60PRD,72
352,1,60PRD,480
353,2,60PRD,55
354,1,60PRD,490
355,2,60PRD,140
356,1,60PRD,440
357,1,60PRD,440
358,2,60PRD,55
359,2,60PRD,170
360,2,60PRD,55
361,1,60PRD,150
362,2,60PRD,150
363,2,60PRD,480
364,2,60PRD,410
365,1,60PRD,55
366,2,60PRD,13
367,1,60PRD,56
368,2,60PRD,480
369,2,60PRD,160
370,2,60PRD,55
371,2,60PRD,470
372,1,60PRD,570
373,2,60PRD,55
374,2,60PRD,350
375,1,60PRD,470
376,2,60PRD,380
377,2,60PRD,40
378,2,60PRD,56
379,2,60PRD,53
380,2,60PRD,57
381,1,60PRD,43
382,2,60PRD,
383,2,60PRD,420
384,2,60PRD,340
385,1,60PRD,58
386,2,60PRD,160
387,1,60PRD,
388,1,60PRD,130
389,2,60PRD,490
390,2,60PRD,460
391,2,60PRD,130
392,2,60PRD,58
393,2,60PRD,73
394,2,60PRD,56
395,1,60PRD,470
396,2,60PRD,81
397,1,60PRD,510
398,2,60PRD,62
399,1,60PRD,500
400,2,60PRD,55
401,2,60PRD,54
402,2,60PRD,83
403,2,60PRD,100
404,2,60PRD,56
405,2,60PRD,120
406,2,60PRD,370
407,1,60PRD,510
408,1,60PRD,
409,2,60PRD,51
410,2,60PRD,55
411,2,60PRD,56
412,1,60PRD,340
413,2,60PRD,55
414,2,60PRD,56
415,1,60PRD,20
416,2,60PRD,210
417,2,60PRD,310
418,2,60PRD,460
419,1,60PRD,590
420,1,60PRD,140
421,1,60PRD,30
422,2,60PRD,88
423,1,60PRD,120
424,1,60PRD,69
425,2,60PRD,55
426,1,60PRD,130
427,2,60PRD,55
428,2,60PRD,0
429,1,60PRD,490
430,2,60PRD,55
431,2,60PRD,
432,2,60PRD,120
433,2,60PRD,460
434,1,60PRD,500
435,2,60PRD,480
436,1,60PRD,0
437,2,60PRD,420
438,2,60PRD,66
439,1,60PRD,480
440,2,60PRD,55
441,2,60PRD,52
442,2,60PRD,57
443,2,60PRD,80
444,2,60PRD,110
445,2,60PRD,55
446,1,60PRD,210
447,2,60PRD,55
448,2,60PRD,47
449,2,60PRD,55
450,1,60PRD,55
451,2,60PRD,400
452,1,60PRD,55
453,2,60PRD,120
454,1,60PRD,25
455,1,60PRD,76
456,2,60PRD,
457,2,60PRD,52
458,2,60PRD,55
459,1,60PRD,61
460,1,60PRD,440
461,1,60PRD,37
462,2,60PRD,58
463,2,60PRD,55
464,2,60PRD,100
465,2,60PRD,490
466,1,60PRD,480
467,2,60PRD,160
468,2,60PRD,76
469,1,60PRD,460
470,1,60PRD,70
471,1,60PRD,60
472,1,60PRD,40
473,1,60PRD,470
474,2,60PRD,100
475,1,60PRD,130
476,2,60PRD,63
477,1,60PRD,72
478,2,60PRD,58
479,2,60PRD,56
480,1,60PRD,69
481,1,60PRD,55
482,2,60PRD,11
483,1,60PRD,55
484,1,60PRD,540
485,2,60PRD,57
486,1,60PRD,120
487,2,60PRD,130
488,1,60PRD,130
489,2,60PRD,160
490,2,60PRD,55
491,2,60PRD,510
492,2,60PRD,55
493,2,60PRD,130
494,2,60PRD,500
495,2,60PRD,55
496,1,60PRD,480
497,2,60PRD,13
498,1,60PRD,77
499,2,60PRD,500
500,2,60PRD,300
501,2,60PRD,470
502,1,60PRD,67
503,2,60PRD,610
504,2,60PRD,27
505,2,60PRD,610
506,2,60PRD,500
507,1,60PRD,80
508,1,60PRD,420
509,2,60PRD,200
510,1,60PRD,280
511,2,60PRD,470
512,2,60PRD,510
513,2,60PRD,470
514,2,60PRD,51
515,1,60PRD,160
516,2,60PRD,610
517,1,60PRD,160
518,1,60PRD,170
519,2,60PRD,50
520,2,60PRD,220
521,2,60PRD,17
522,2,60PRD,160
523,1,60PRD,140
524,2,60PRD,56
525,2,60PRD,56
526,1,60PRD,73
527,1,60PRD,470
528,2,60PRD,56
529,2,60PRD,100
530,2,60PRD,
531,1,60PRD,
532,1,60PRD,58
533,2,60PRD,630
534,2,60PRD,56
535,2,60PRD,56
536,2,60PRD,56
537,1,60PRD,140
538,2,60PRD,58
539,2,60PRD,20
540,2,60PRD,73
541,1,60PRD,50
542,1,60PRD,
543,2,60PRD,480
544,2,60PRD,67
545,2,60PRD,47
546,2,60PRD,47
547,1,60PRD,60
548,1,60PRD,56
549,1,60PRD,10
550,2,60PRD,440
551,1,60PRD,
552,1,60PRD,55
553,2,60PRD,57
554,2,60PRD,43
555,2,60PRD,62
556,1,60PRD,70
557,1,60PRD,120
558,2,60PRD,480
559,1,60PRD,26
560,2,60PRD,56
561,2,60PRD,120
562,2,60PRD,140
563,2,60PRD,55
564,2,60PRD,440
565,2,60PRD,440
566,2,60PRD,58
567,2,60PRD,47
568,2,60PRD,440
569,2,60PRD,550
570,2,60PRD,
571,2,60PRD,55
572,2,60PRD,16
573,2,60PRD,540
574,2,60PRD,470
575,2,60PRD,55
576,2,60PRD,480
577,2,60PRD,25
578,2,60PRD,24
579,1,60PRD,560
580,2,60PRD,
581,2,60PRD,470
582,2,60PRD,100
583,1,60PRD,52
584,1,60PRD,56
585,1,60PRD,460
586,2,60PRD,590
587,1,60PRD,130
588,1,60PRD,60
589,2,60PRD,120
590,1,60PRD,55
591,2,60PRD,220
592,2,60PRD,
593,2,60PRD,480
594,2,60PRD,520
595,1,60PRD,14
596,2,60PRD,33
597,2,60PRD,62
598,2,60PRD,400
599,1,60PRD,
600,1,60PRD,320
601,1,60PRD,
602,2,60PRD,62
603,1,60PRD,62
604,1,60PRD,130
605,2,60PRD,30
606,1,60PRD,110
607,1,60PRD,51
608,2,60PRD,58
609,2,60PRD,480
610,2,60PRD,160
611,2,60PRD,140
612,2,60PRD,55
613,2,60PRD,470
614,2,60PRD,48
615,2,60PRD,57
616,1,60PRD,
617,2,60PRD,17
618,2,60PRD,56
619,2,60PRD,
620,2,60PRD,36
621,2,60PRD,470
622,2,60PRD,480
623,2,60PRD,130
624,1,60PRD,130
625,2,60PRD,610
626,1,60PRD,85
627,2,60PRD,24
628,2,60PRD,56
629,1,60PRD,100
630,1,60PRD,210
631,2,60PRD,58
632,1,60PRD,130
633,2,60PRD,210
634,1,60PRD,230
635,1,60PRD,480
636,2,60PRD,56
637,2,60PRD,130
638,2,60PRD,510
639,1,60PRD,480
640,2,60PRD,120
641,1,60PRD,50
642,2,60PRD,49
643,2,60PRD,110
644,2,60PRD,75
645,2,60PRD,82
646,2,60PRD,63
647,2,60PRD,11
648,2,60PRD,63
649,2,60PRD,490
650,2,60PRD,420
651,2,60PRD,370
652,2,60PRD,100
653,2,60PRD,120
654,2,60PRD,10
655,1,60PRD,55
656,2,60PRD,50
657,2,60PRD,130
658,2,60PRD,460
659,2,60PRD,55
660,1,60PRD,58
661,2,60PRD,75
662,1,60PRD,56
663,1,60PRD,56
664,1,60PRD,56
665,1,60PRD,49
666,2,60PRD,500
667,1,60PRD,210
668,2,60PRD,400
669,2,60PRD,100
670,2,60PRD,55
671,2,60PRD,82
672,2,60PRD,63
673,2,60PRD,40
674,2,60PRD,72
675,2,60PRD,530
676,2,60PRD,17
677,2,60PRD,
678,2,60PRD,130
679,1,60PRD,430
680,1,60PRD,56
681,2,60PRD,27
682,1,60PRD,500
683,2,60PRD,470
684,1,60PRD,400
685,1,60PRD,56
686,2,60PRD,160
687,2,60PRD,73
688,2,60PRD,16
689,2,60PRD,470
690,1,60PRD,53
691,1,60PRD,55
692,2,60PRD,30
693,1,60PRD,56
694,2,60PRD,100
695,2,60PRD,30
696,2,60PRD,130
697,2,60PRD,110
698,2,60PRD,47
699,2,60PRD,63
700,2,60PRD,480
701,2,60PRD,56
702,1,60PRD,480
703,1,60PRD,55
704,1,60PRD,
705,2,60PRD,40
706,2,60PRD,30
707,1,60PRD,140
708,2,60PRD,490
709,2,60PRD,480
710,1,60PRD,170
711,2,60PRD,47
712,2,60PRD,130
713,1,60PRD,210
714,1,60PRD,43
715,2,60PRD,300
716,1,60PRD,120
717,2,60PRD,55
718,2,60PRD,540
719,1,60PRD,510
720,2,60PRD,500
721,2,60PRD,490
722,2,60PRD,18
723,2,60PRD,87
724,2,60PRD,26
725,1,60PRD,16
726,2,60PRD,87
727,1,60PRD,
728,2,60PRD,0
729,2,60PRD,56
730,2,60PRD,210
731,2,60PRD,130
732,1,60PRD,44
733,1,60PRD,55
734,1,60PRD,20
735,1,60PRD,56
736,2,60PRD,85
737,2,60PRD,490
738,2,60PRD,490
739,2,60PRD,57
740,1,60PRD,
741,2,60PRD,130
742,2,60PRD,33
743,1,60PRD,460
744,1,60PRD,55
745,2,60PRD,
746,2,60PRD,16
747,2,60PRD,490
748,2,60PRD,510
749,1,60PRD,67
750,2,60PRD,610
751,2,60PRD,390
752,1,60PRD,610
753,2,60PRD,460
754,1,60PRD,80
755,2,60PRD,400
756,2,60PRD,55
757,1,60PRD,280
758,2,60PRD,120
759,2,60PRD,90
760,1,60PRD,
761,2,60PRD,410
762,1,60PRD,480
763,2,60PRD,56
764,1,60PRD,100
765,2,60PRD,55
766,2,60PRD,440
767,2,60PRD,67
768,1,60PRD,13
769,1,60PRD,76
770,1,60PRD,10
771,2,60PRD,100
772,2,60PRD,83
773,2,60PRD,480
774,2,60PRD,460
775,1,60PRD,76
776,2,60PRD,56
777,2,60PRD,510
778,2,60PRD,55
779,2,60PRD,340
780,1,60PRD,55
781,2,60PRD,56
782,2,60PRD,55
783,2,60PRD,130
784,2,60PRD,400
785,1,60PRD,340
786,1,60PRD,120
787,2,60PRD,130
788,2,60PRD,100
789,1,60PRD,120
790,2,60PRD,57
791,1,60PRD,56
792,1,60PRD,480
793,2,60PRD,130
794,1,60PRD,70
795,2,60PRD,100
796,2,60PRD,60
797,2,60PRD,63
798,1,60PRD,150
799,1,60PRD,56
800,2,60PRD,110
801,1,60PRD,
802,2,60PRD,440
803,1,60PRD,480
804,2,60PRD,47
805,2,60PRD,60
806,2,60PRD,130
807,2,60PRD,
808,1,60PRD,62
809,2,60PRD,480
810,2,60PRD,
811,1,60PRD,56
812,2,60PRD,160
813,2,60PRD,110
814,2,60PRD,460
815,2,60PRD,51
816,2,60PRD,73
817,1,60PRD,370
818,2,60PRD,500
819,1,60PRD,49
820,2,60PRD,150
821,1,60PRD,620
822,2,60PRD,14
823,1,60PRD,58
824,2,60PRD,160
825,2,60PRD,62
826,2,60PRD,150
827,2,60PRD,540
828,2,60PRD,540
829,2,60PRD,490
830,1,60PRD,50
831,2,60PRD,56
832,2,60PRD,28
833,2,60PRD,24
834,2,60PRD,160
835,1,60PRD,490
836,2,60PRD,500
837,2,60PRD,220
838,2,60PRD,160
839,2,60PRD,55
840,2,60PRD,51
841,2,60PRD,66
842,2,60PRD,480
843,2,60PRD,610
844,2,60PRD,130
845,2,60PRD,55
846,2,60PRD,70
847,1,60PRD,140
848,1,60PRD,66
849,1,60PRD,300
850,2,60PRD,66
851,2,60PRD,62
852,2,60PRD,51
853,1,60PRD,480
854,2,60PRD,24
855,2,60PRD,57
856,1,60PRD,57
857,1,60PRD,400
858,2,60PRD,460
859,2,60PRD,100
860,2,60PRD,57
861,1,60PRD,34
862,2,60PRD,440
863,1,60PRD,
864,2,60PRD,26
865,2,60PRD,55
866,2,60PRD,100
867,2,60PRD,460
868,2,60PRD,490
869,1,60PRD,130
870,1,60PRD,52
871,2,60PRD,56
872,2,60PRD,57
873,2,60PRD,440
874,1,60PRD,69
875,1,60PRD,0
876,2,60PRD,34
877,1,60PRD,55
878,1,60PRD,490
879,2,60PRD,600
880,1,60PRD,55
881,1,60PRD,52
882,1,60PRD,56
883,1,60PRD,100
884,1,60PRD,47
885,2,60PRD,160
886,2,60PRD,61
887,2,60PRD,55
888,2,60PRD,56
889,2,60PRD,420
890,2,60PRD,160
891,1,60PRD,620
892,2,60PRD,55
893,2,60PRD,43
894,2,60PRD,620
895,1,60PRD,310
896,2,60PRD,16
897,2,60PRD,470
898,2,60PRD,460
899,2,60PRD,130
900,2,60PRD,340
901,1,60PRD,310
902,1,60PRD,57
903,1,60PRD,10
904,2,60PRD,110
905,2,60PRD,58
906,2,60PRD,62
907,2,60PRD,17
908,2,60PRD,73
909,1,60PRD,160
910,2,60PRD,55
911,2,60PRD,
912,2,60PRD,50
913,1,60PRD,410
914,1,60PRD,52
915,1,60PRD,56
916,2,60PRD,73
917,1,60PRD,480
918,1,60PRD,420
919,2,60PRD,55
920,2,60PRD,55
921,1,60PRD,210
922,1,60PRD,55
923,2,60PRD,130
924,2,60PRD,20
925,2,60PRD,170
926,1,60PRD,90
927,1,60PRD,47
928,1,60PRD,100
929,2,60PRD,30
930,2,60PRD,490
931,1,60PRD,55
932,1,60PRD,56
933,2,60PRD,57
934,1,60PRD,90
935,2,60PRD,55
936,2,60PRD,
937,1,60PRD,510
938,2,60PRD,380
939,1,60PRD,490
940,2,60PRD,56
941,2,60PRD,130
942,2,60PRD,500
943,2,60PRD,490
944,1,60PRD,55
945,2,60PRD,55
946,1,60PRD,88
947,2,60PRD,510
948,1,60PRD,34
949,1,60PRD,55
950,1,60PRD,540
951,1,60PRD,55
952,2,60PRD,480
953,1,60PRD,58
954,1,60PRD,20
955,2,60PRD,82
956,2,60PRD,56
957,2,60PRD,55
958,2,60PRD,63
959,2,60PRD,600
960,2,60PRD,510
961,1,60PRD,55
962,2,60PRD,610
963,2,60PRD,55
964,2,60PRD,500
965,2,60PRD,56
966,1,60PRD,55
967,2,60PRD,460
968,2,60PRD,55
969,2,60PRD,55
970,2,60PRD,56
971,1,60PRD,500
972,1,60PRD,57
973,2,60PRD,65
974,2,60PRD,580
975,2,60PRD,110
976,2,60PRD,540
977,2,60PRD,21
978,2,60PRD,79
979,2,60PRD,30
980,1,60PRD,100
981,2,60PRD,480
982,2,60PRD,620
983,2,60PRD,82
984,1,60PRD,100
985,1,60PRD,20
986,1,60PRD,87
987,2,60PRD,56
988,2,60PRD,53
989,1,60PRD,470
990,1,60PRD,52
991,2,60PRD,55
992,2,60PRD,82
993,1,60PRD,16
994,1,60PRD,57
995,1,60PRD,100
996,1,60PRD,460
997,1,60PRD,37
998,1,60PRD,460
999,2,60PRD,460
1000,1,60PRD,130
1049,2,60PRD,61
1050,2,60PRD,63
1051,2,60PRD,120
1052,2,60PRD,56
1053,2,60PRD,310
1054,2,60PRD,100
1055,1,60PRD,340
1056,2,60PRD,420
1057,1,60PRD,100
1058,2,60PRD,380
1059,1,60PRD,340
1060,2,60PRD,41
1061,2,60PRD,34
1062,1,60PRD,480
1063,2,60PRD,130
1064,2,60PRD,610
1065,2,60PRD,110
1066,2,60PRD,80
1067,2,60PRD,440
1068,2,60PRD,510
1069,2,60PRD,31
1070,2,60PRD,210
1071,2,60PRD,400
1072,2,60PRD,56
1073,2,60PRD,80
1074,2,60PRD,56
1075,1,60PRD,25
1076,2,60PRD,47
1077,1,60PRD,56
1078,2,60PRD,56
1079,2,60PRD,150
1080,2,60PRD,130
1081,2,60PRD,210
1082,2,60PRD,470
1083,1,60PRD,460
1084,2,60PRD,62
1085,1,60PRD,140
1086,1,60PRD,
1087,2,60PRD,56
1088,2,60PRD,480
1089,2,60PRD,130
1090,2,60PRD,500
1091,2,60PRD,55
1092,1,60PRD,550
1093,2,60PRD,75
1094,1,60PRD,55
1095,2,60PRD,510
1096,1,60PRD,100
1097,2,60PRD,350
1098,1,60PRD,160
1099,2,60PRD,440
1100,2,60PRD,130
1101,2,60PRD,0
1102,2,60PRD,480
1103,2,60PRD,460
1104,2,60PRD,490
1105,2,60PRD,530
1106,2,60PRD,210
1107,1,60PRD,100
1108,2,60PRD,56
1109,2,60PRD,480
1110,2,60PRD,160
1111,1,60PRD,270
1112,1,60PRD,51
1113,1,60PRD,480
1114,1,60PRD,500
1115,2,60PRD,130
1116,2,60PRD,73
1117,2,60PRD,58
1118,1,60PRD,370
1119,1,60PRD,140
1120,2,60PRD,56
1121,2,60PRD,140
1122,1,60PRD,110
1123,1,60PRD,120
1124,1,60PRD,470
1125,2,60PRD,14
1126,1,60PRD,460
1127,2,60PRD,67
1128,2,60PRD,470
1129,2,60PRD,340
1130,2,60PRD,100
1131,2,60PRD,400
1132,2,60PRD,160
1133,2,60PRD,55
1134,1,60PRD,44
1135,1,60PRD,53
1136,1,60PRD,540
1137,2,60PRD,20
1138,2,60PRD,490
1139,2,60PRD,140
1140,2,60PRD,56
1141,1,60PRD,62
1142,1,60PRD,260
1143,2,60PRD,510
1144,2,60PRD,63
1145,1,60PRD,500
1146,2,60PRD,
1147,1,60PRD,62
1148,2,60PRD,510
1149,2,60PRD,55
1150,1,60PRD,480
1151,2,60PRD,55
1152,2,60PRD,55
1153,1,60PRD,140
1154,2,60PRD,160
1155,2,60PRD,45
1156,1,60PRD,55
1157,2,60PRD,56
1158,1,60PRD,220
1159,2,60PRD,21
1160,2,60PRD,160
1161,1,60PRD,47
1162,2,60PRD,160
1163,1,60PRD,25
1164,2,60PRD,66
1165,2,60PRD,550
1166,2,60PRD,610
1167,1,60PRD,120
1168,2,60PRD,440
1169,2,60PRD,510
1170,1,60PRD,440
1171,1,60PRD,55
1172,1,60PRD,0
1173,2,60PRD,110
1174,1,60PRD,100
1175,1,60PRD,460
1176,1,60PRD,52
1177,2,60PRD,53
1178,2,60PRD,540
1179,2,60PRD,410
1180,1,60PRD,100
1181,2,60PRD,55
1182,2,60PRD,56
1183,1,60PRD,55
1184,2,60PRD,62
1185,2,60PRD,470
1186,2,60PRD,510
1187,2,60PRD,16
1188,2,60PRD,470
1189,2,60PRD,130
1190,2,60PRD,75
1191,2,60PRD,55
1192,2,60PRD,470
1193,2,60PRD,490
1194,1,60PRD,62
1195,1,60PRD,69
1196,1,60PRD,47
1197,1,60PRD,55
1198,2,60PRD,370
1199,2,60PRD,100
1200,1,60PRD,380
1201,2,60PRD,210
1202,2,60PRD,60
1203,2,60PRD,480
1204,2,60PRD,480
1205,2,60PRD,63
1206,1,60PRD,52
1207,1,60PRD,
1208,2,60PRD,480
1209,2,60PRD,100
1210,1,60PRD,100
1211,1,60PRD,55
1212,1,60PRD,73
1213,2,60PRD,52
1214,1,60PRD,62
1215,2,60PRD,390
1216,2,60PRD,500
1217,2,60PRD,130
1218,1,60PRD,490
1219,1,60PRD,39
1220,2,60PRD,60
1221,2,60PRD,10
1222,2,60PRD,470
1223,2,60PRD,470
1224,2,60PRD,22
1225,1,60PRD,
1226,2,60PRD,53
1227,2,60PRD,120
1228,2,60PRD,130
1229,2,60PRD,160
1230,2,60PRD,130
1231,2,60PRD,40
1232,1,60PRD,460
1233,1,60PRD,44
1234,2,60PRD,100
1235,2,60PRD,55
1236,2,60PRD,47
1237,1,60PRD,530
1238,2,60PRD,160
1239,2,60PRD,56
1240,2,60PRD,460
1241,2,60PRD,100
1242,2,60PRD,470
1243,1,60PRD,630
1244,1,60PRD,40
1245,2,60PRD,56
1246,1,60PRD,57
1247,2,60PRD,470
1248,2,60PRD,340
1249,1,60PRD,510
1250,2,60PRD,57
1251,1,60PRD,120
1252,2,60PRD,
1253,2,60PRD,470
1254,2,60PRD,56
1255,2,60PRD,140
1256,2,60PRD,380
1257,1,60PRD,210
1258,2,60PRD,31
1259,2,60PRD,
1260,1,60PRD,63
1261,2,60PRD,56
1262,1,60PRD,510
1263,2,60PRD,55
1264,2,60PRD,40
1265,1,60PRD,230
1266,1,60PRD,58
1267,1,60PRD,440
1268,1,60PRD,380
1269,2,60PRD,90
1270,2,60PRD,76
1271,1,60PRD,56
1272,2,60PRD,500
1273,2,60PRD,480
1274,2,60PRD,500
1275,2,60PRD,460
1276,1,60PRD,67
1277,2,60PRD,160
1278,1,60PRD,140
1279,1,60PRD,61
1280,2,60PRD,0
1281,2,60PRD,56
1282,1,60PRD,
1283,1,60PRD,100
1284,1,60PRD,51
1285,1,60PRD,24
1286,2,60PRD,100
1287,2,60PRD,55
1288,2,60PRD,400
1289,2,60PRD,340
1290,2,60PRD,55
1291,2,60PRD,58
1292,2,60PRD,60
1293,2,60PRD,67
1294,2,60PRD,56
1295,2,60PRD,42
1296,2,60PRD,470
1297,1,60PRD,66
