SEQ,GENDER,AGE_PRD,HOM_PST_NO
00248,1,60PRD,480
00249,2,60PRD,480
00250,2,60PRD,052
00251,1,60PRD,053
00252,2,60PRD,110
00253,2,60PRD,073
00254,1,60PRD,490
00255,1,60PRD,063
00256,2,60PRD,025
00257,2,60PRD,100
00258,1,60PRD,480
00259,2,60PRD,065
00260,2,60PRD,470
00261,1,60PRD,033
00262,2,60PRD,033
00263,1,60PRD,056
00264,1,60PRD,057
00265,2,60PRD,280
00266,2,60PRD,
00267,1,60PRD,440
00268,2,60PRD,057
00269,2,60PRD,
00270,1,60PRD,040
00271,2,60PRD,058
00272,2,60PRD,460
00273,2,60PRD,060
00274,1,60PRD,130
00275,1,60PRD,480
00276,2,60PRD,013
00277,1,60PRD,480
00278,2,60PRD,034
00279,2,60PRD,250
00280,2,60PRD,065
00281,1,60PRD,270
00282,1,60PRD,440
00283,2,60PRD,350
00284,1,60PRD,120
00285,1,60PRD,040
00286,2,60PRD,
00287,2,60PRD,087
00288,2,60PRD,083
00289,2,60PRD,021
00290,2,60PRD,480
00291,1,60PRD,055
00292,1,60PRD,047
00293,2,60PRD,049
00294,2,60PRD,630
00295,1,60PRD,056
00296,2,60PRD,062
00297,2,60PRD,440
00298,2,60PRD,510
00299,1,60PRD,100
00300,2,60PRD,033
00301,1,60PRD,140
00302,2,60PRD,130
00303,1,60PRD,610
00304,2,60PRD,067
00305,2,60PRD,055
00306,2,60PRD,062
00307,2,60PRD,055
00308,1,60PRD,140
00309,2,60PRD,150
00310,2,60PRD,610
00311,2,60PRD,033
00312,2,60PRD,460
00313,1,60PRD,400
00314,2,60PRD,480
00315,1,60PRD,460
00316,1,60PRD,055
00317,1,60PRD,150
00318,2,60PRD,056
00319,1,60PRD,470
00320,2,60PRD,055
00321,2,60PRD,440
00322,2,60PRD,055
00323,1,60PRD,610
00324,2,60PRD,400
00325,1,60PRD,056
00326,1,60PRD,000
00327,1,60PRD,055
00328,2,60PRD,047
00329,2,60PRD,057
00330,1,60PRD,130
00331,2,60PRD,055
00332,1,60PRD,540
00333,1,60PRD,012
00334,2,60PRD,056
00335,2,60PRD,130
00336,1,60PRD,056
00337,1,60PRD,058
00338,1,60PRD,037
00339,1,60PRD,057
00340,2,60PRD,480
00341,1,60PRD,043
00342,1,60PRD,440
00343,2,60PRD,130
00344,1,60PRD,540
00345,1,60PRD,075
00346,2,60PRD,470
00347,2,60PRD,016
00348,2,60PRD,036
00349,2,60PRD,
00350,2,60PRD,140
00351,1,60PRD,072
00352,1,60PRD,480
00353,2,60PRD,055
00354,1,60PRD,490
00355,2,60PRD,140
00356,1,60PRD,440
00357,1,60PRD,440
00358,2,60PRD,055
00359,2,60PRD,170
00360,2,60PRD,055
00361,1,60PRD,150
00362,2,60PRD,150
00363,2,60PRD,480
00364,2,60PRD,410
00365,1,60PRD,055
00366,2,60PRD,013
00367,1,60PRD,056
00368,2,60PRD,480
00369,2,60PRD,160
00370,2,60PRD,055
00371,2,60PRD,470
00372,1,60PRD,570
00373,2,60PRD,055
00374,2,60PRD,350
00375,1,60PRD,470
00376,2,60PRD,380
00377,2,60PRD,040
00378,2,60PRD,056
00379,2,60PRD,053
00380,2,60PRD,057
00381,1,60PRD,043
00382,2,60PRD,
00383,2,60PRD,420
00384,2,60PRD,340
00385,1,60PRD,058
00386,2,60PRD,160
00387,1,60PRD,
00388,1,60PRD,130
00389,2,60PRD,490
00390,2,60PRD,460
00391,2,60PRD,130
00392,2,60PRD,058
00393,2,60PRD,073
00394,2,60PRD,056
00395,1,60PRD,470
00396,2,60PRD,081
00397,1,60PRD,510
00398,2,60PRD,062
00399,1,60PRD,500
00400,2,60PRD,055
00401,2,60PRD,054
00402,2,60PRD,083
00403,2,60PRD,100
00404,2,60PRD,056
00405,2,60PRD,120
00406,2,60PRD,370
00407,1,60PRD,510
00408,1,60PRD,
00409,2,60PRD,051
00410,2,60PRD,055
00411,2,60PRD,056
00412,1,60PRD,340
00413,2,60PRD,055
00414,2,60PRD,056
00415,1,60PRD,020
00416,2,60PRD,210
00417,2,60PRD,310
00418,2,60PRD,460
00419,1,60PRD,590
00420,1,60PRD,140
00421,1,60PRD,030
00422,2,60PRD,088
00423,1,60PRD,120
00424,1,60PRD,069
00425,2,60PRD,055
00426,1,60PRD,130
00427,2,60PRD,055
00428,2,60PRD,000
00429,1,60PRD,490
00430,2,60PRD,055
00431,2,60PRD,
00432,2,60PRD,120
00433,2,60PRD,460
00434,1,60PRD,500
00435,2,60PRD,480
00436,1,60PRD,000
00437,2,60PRD,420
00438,2,60PRD,066
00439,1,60PRD,480
00440,2,60PRD,055
00441,2,60PRD,052
00442,2,60PRD,057
00443,2,60PRD,080
00444,2,60PRD,110
00445,2,60PRD,055
00446,1,60PRD,210
00447,2,60PRD,055
00448,2,60PRD,047
00449,2,60PRD,055
00450,1,60PRD,055
00451,2,60PRD,400
00452,1,60PRD,055
00453,2,60PRD,120
00454,1,60PRD,025
00455,1,60PRD,076
00456,2,60PRD,
00457,2,60PRD,052
00458,2,60PRD,055
00459,1,60PRD,061
00460,1,60PRD,440
00461,1,60PRD,037
00462,2,60PRD,058
00463,2,60PRD,055
00464,2,60PRD,100
00465,2,60PRD,490
00466,1,60PRD,480
00467,2,60PRD,160
00468,2,60PRD,076
00469,1,60PRD,460
00470,1,60PRD,070
00471,1,60PRD,060
00472,1,60PRD,040
00473,1,60PRD,470
00474,2,60PRD,100
00475,1,60PRD,130
00476,2,60PRD,063
00477,1,60PRD,072
00478,2,60PRD,058
00479,2,60PRD,056
00480,1,60PRD,069
00481,1,60PRD,055
00482,2,60PRD,011
00483,1,60PRD,055
00484,1,60PRD,540
00485,2,60PRD,057
00486,1,60PRD,120
00487,2,60PRD,130
00488,1,60PRD,130
00489,2,60PRD,160
00490,2,60PRD,055
00491,2,60PRD,510
00492,2,60PRD,055
00493,2,60PRD,130
00494,2,60PRD,500
00495,2,60PRD,055
00496,1,60PRD,480
00497,2,60PRD,013
00498,1,60PRD,077
00499,2,60PRD,500
00500,2,60PRD,300
00501,2,60PRD,470
00502,1,60PRD,067
00503,2,60PRD,610
00504,2,60PRD,027
00505,2,60PRD,610
00506,2,60PRD,500
00507,1,60PRD,080
00508,1,60PRD,420
00509,2,60PRD,200
00510,1,60PRD,280
00511,2,60PRD,470
00512,2,60PRD,510
00513,2,60PRD,470
00514,2,60PRD,051
00515,1,60PRD,160
00516,2,60PRD,610
00517,1,60PRD,160
00518,1,60PRD,170
00519,2,60PRD,050
00520,2,60PRD,220
00521,2,60PRD,017
00522,2,60PRD,160
00523,1,60PRD,140
00524,2,60PRD,056
00525,2,60PRD,056
00526,1,60PRD,073
00527,1,60PRD,470
00528,2,60PRD,056
00529,2,60PRD,100
00530,2,60PRD,
00531,1,60PRD,
00532,1,60PRD,058
00533,2,60PRD,630
00534,2,60PRD,056
00535,2,60PRD,056
00536,2,60PRD,056
00537,1,60PRD,140
00538,2,60PRD,058
00539,2,60PRD,020
00540,2,60PRD,073
00541,1,60PRD,050
00542,1,60PRD,
00543,2,60PRD,480
00544,2,60PRD,067
00545,2,60PRD,047
00546,2,60PRD,047
00547,1,60PRD,060
00548,1,60PRD,056
00549,1,60PRD,010
00550,2,60PRD,440
00551,1,60PRD,
00552,1,60PRD,055
00553,2,60PRD,057
00554,2,60PRD,043
00555,2,60PRD,062
00556,1,60PRD,070
00557,1,60PRD,120
00558,2,60PRD,480
00559,1,60PRD,026
00560,2,60PRD,056
00561,2,60PRD,120
00562,2,60PRD,140
00563,2,60PRD,055
00564,2,60PRD,440
00565,2,60PRD,440
00566,2,60PRD,058
00567,2,60PRD,047
00568,2,60PRD,440
00569,2,60PRD,550
00570,2,60PRD,
00571,2,60PRD,055
00572,2,60PRD,016
00573,2,60PRD,540
00574,2,60PRD,470
00575,2,60PRD,055
00576,2,60PRD,480
00577,2,60PRD,025
00578,2,60PRD,024
00579,1,60PRD,560
00580,2,60PRD,
00581,2,60PRD,470
00582,2,60PRD,100
00583,1,60PRD,052
00584,1,60PRD,056
00585,1,60PRD,460
00586,2,60PRD,590
00587,1,60PRD,130
00588,1,60PRD,060
00589,2,60PRD,120
00590,1,60PRD,055
00591,2,60PRD,220
00592,2,60PRD,
00593,2,60PRD,480
00594,2,60PRD,520
00595,1,60PRD,014
00596,2,60PRD,033
00597,2,60PRD,062
00598,2,60PRD,400
00599,1,60PRD,
00600,1,60PRD,320
00601,1,60PRD,
00602,2,60PRD,062
00603,1,60PRD,062
00604,1,60PRD,130
00605,2,60PRD,030
00606,1,60PRD,110
00607,1,60PRD,051
00608,2,60PRD,058
00609,2,60PRD,480
00610,2,60PRD,160
00611,2,60PRD,140
00612,2,60PRD,055
00613,2,60PRD,470
00614,2,60PRD,048
00615,2,60PRD,057
00616,1,60PRD,
00617,2,60PRD,017
00618,2,60PRD,056
00619,2,60PRD,
00620,2,60PRD,036
00621,2,60PRD,470
00622,2,60PRD,480
00623,2,60PRD,130
00624,1,60PRD,130
00625,2,60PRD,610
00626,1,60PRD,085
00627,2,60PRD,024
00628,2,60PRD,056
00629,1,60PRD,100
00630,1,60PRD,210
00631,2,60PRD,058
00632,1,60PRD,130
00633,2,60PRD,210
00634,1,60PRD,230
00635,1,60PRD,480
00636,2,60PRD,056
00637,2,60PRD,130
00638,2,60PRD,510
00639,1,60PRD,480
00640,2,60PRD,120
00641,1,60PRD,050
00642,2,60PRD,049
00643,2,60PRD,110
00644,2,60PRD,075
00645,2,60PRD,082
00646,2,60PRD,063
00647,2,60PRD,011
00648,2,60PRD,063
00649,2,60PRD,490
00650,2,60PRD,420
00651,2,60PRD,370
00652,2,60PRD,100
00653,2,60PRD,120
00654,2,60PRD,010
00655,1,60PRD,055
00656,2,60PRD,050
00657,2,60PRD,130
00658,2,60PRD,460
00659,2,60PRD,055
00660,1,60PRD,058
00661,2,60PRD,075
00662,1,60PRD,056
00663,1,60PRD,056
00664,1,60PRD,056
00665,1,60PRD,049
00666,2,60PRD,500
00667,1,60PRD,210
00668,2,60PRD,400
00669,2,60PRD,100
00670,2,60PRD,055
00671,2,60PRD,082
00672,2,60PRD,063
00673,2,60PRD,040
00674,2,60PRD,072
00675,2,60PRD,530
00676,2,60PRD,017
00677,2,60PRD,
00678,2,60PRD,130
00679,1,60PRD,430
00680,1,60PRD,056
00681,2,60PRD,027
00682,1,60PRD,500
00683,2,60PRD,470
00684,1,60PRD,400
00685,1,60PRD,056
00686,2,60PRD,160
00687,2,60PRD,073
00688,2,60PRD,016
00689,2,60PRD,470
00690,1,60PRD,053
00691,1,60PRD,055
00692,2,60PRD,030
00693,1,60PRD,056
00694,2,60PRD,100
00695,2,60PRD,030
00696,2,60PRD,130
00697,2,60PRD,110
00698,2,60PRD,047
00699,2,60PRD,063
00700,2,60PRD,480
00701,2,60PRD,056
00702,1,60PRD,480
00703,1,60PRD,055
00704,1,60PRD,
00705,2,60PRD,040
00706,2,60PRD,030
00707,1,60PRD,140
00708,2,60PRD,490
00709,2,60PRD,480
00710,1,60PRD,170
00711,2,60PRD,047
00712,2,60PRD,130
00713,1,60PRD,210
00714,1,60PRD,043
00715,2,60PRD,300
00716,1,60PRD,120
00717,2,60PRD,055
00718,2,60PRD,540
00719,1,60PRD,510
00720,2,60PRD,500
00721,2,60PRD,490
00722,2,60PRD,018
00723,2,60PRD,087
00724,2,60PRD,026
00725,1,60PRD,016
00726,2,60PRD,087
00727,1,60PRD,
00728,2,60PRD,000
00729,2,60PRD,056
00730,2,60PRD,210
00731,2,60PRD,130
00732,1,60PRD,044
00733,1,60PRD,055
00734,1,60PRD,020
00735,1,60PRD,056
00736,2,60PRD,085
00737,2,60PRD,490
00738,2,60PRD,490
00739,2,60PRD,057
00740,1,60PRD,
00741,2,60PRD,130
00742,2,60PRD,033
00743,1,60PRD,460
00744,1,60PRD,055
00745,2,60PRD,
00746,2,60PRD,016
00747,2,60PRD,490
00748,2,60PRD,510
00749,1,60PRD,067
00750,2,60PRD,610
00751,2,60PRD,390
00752,1,60PRD,610
00753,2,60PRD,460
00754,1,60PRD,080
00755,2,60PRD,400
00756,2,60PRD,055
00757,1,60PRD,280
00758,2,60PRD,120
00759,2,60PRD,090
00760,1,60PRD,
00761,2,60PRD,410
00762,1,60PRD,480
00763,2,60PRD,056
00764,1,60PRD,100
00765,2,60PRD,055
00766,2,60PRD,440
00767,2,60PRD,067
00768,1,60PRD,013
00769,1,60PRD,076
00770,1,60PRD,010
00771,2,60PRD,100
00772,2,60PRD,083
00773,2,60PRD,480
00774,2,60PRD,460
00775,1,60PRD,076
00776,2,60PRD,056
00777,2,60PRD,510
00778,2,60PRD,055
00779,2,60PRD,340
00780,1,60PRD,055
00781,2,60PRD,056
00782,2,60PRD,055
00783,2,60PRD,130
00784,2,60PRD,400
00785,1,60PRD,340
00786,1,60PRD,120
00787,2,60PRD,130
00788,2,60PRD,100
00789,1,60PRD,120
00790,2,60PRD,057
00791,1,60PRD,056
00792,1,60PRD,480
00793,2,60PRD,130
00794,1,60PRD,070
00795,2,60PRD,100
00796,2,60PRD,060
00797,2,60PRD,063
00798,1,60PRD,150
00799,1,60PRD,056
00800,2,60PRD,110
00801,1,60PRD,
00802,2,60PRD,440
00803,1,60PRD,480
00804,2,60PRD,047
00805,2,60PRD,060
00806,2,60PRD,130
00807,2,60PRD,
00808,1,60PRD,062
00809,2,60PRD,480
00810,2,60PRD,
00811,1,60PRD,056
00812,2,60PRD,160
00813,2,60PRD,110
00814,2,60PRD,460
00815,2,60PRD,051
00816,2,60PRD,073
00817,1,60PRD,370
00818,2,60PRD,500
00819,1,60PRD,049
00820,2,60PRD,150
00821,1,60PRD,620
00822,2,60PRD,014
00823,1,60PRD,058
00824,2,60PRD,160
00825,2,60PRD,062
00826,2,60PRD,150
00827,2,60PRD,540
00828,2,60PRD,540
00829,2,60PRD,490
00830,1,60PRD,050
00831,2,60PRD,056
00832,2,60PRD,028
00833,2,60PRD,024
00834,2,60PRD,160
00835,1,60PRD,490
00836,2,60PRD,500
00837,2,60PRD,220
00838,2,60PRD,160
00839,2,60PRD,055
00840,2,60PRD,051
00841,2,60PRD,066
00842,2,60PRD,480
00843,2,60PRD,610
00844,2,60PRD,130
00845,2,60PRD,055
00846,2,60PRD,070
00847,1,60PRD,140
00848,1,60PRD,066
00849,1,60PRD,300
00850,2,60PRD,066
00851,2,60PRD,062
00852,2,60PRD,051
00853,1,60PRD,480
00854,2,60PRD,024
00855,2,60PRD,057
00856,1,60PRD,057
00857,1,60PRD,400
00858,2,60PRD,460
00859,2,60PRD,100
00860,2,60PRD,057
00861,1,60PRD,034
00862,2,60PRD,440
00863,1,60PRD,
00864,2,60PRD,026
00865,2,60PRD,055
00866,2,60PRD,100
00867,2,60PRD,460
00868,2,60PRD,490
00869,1,60PRD,130
00870,1,60PRD,052
00871,2,60PRD,056
00872,2,60PRD,057
00873,2,60PRD,440
00874,1,60PRD,069
00875,1,60PRD,000
00876,2,60PRD,034
00877,1,60PRD,055
00878,1,60PRD,490
00879,2,60PRD,600
00880,1,60PRD,055
00881,1,60PRD,052
00882,1,60PRD,056
00883,1,60PRD,100
00884,1,60PRD,047
00885,2,60PRD,160
00886,2,60PRD,061
00887,2,60PRD,055
00888,2,60PRD,056
00889,2,60PRD,420
00890,2,60PRD,160
00891,1,60PRD,620
00892,2,60PRD,055
00893,2,60PRD,043
00894,2,60PRD,620
00895,1,60PRD,310
00896,2,60PRD,016
00897,2,60PRD,470
00898,2,60PRD,460
00899,2,60PRD,130
00900,2,60PRD,340
00901,1,60PRD,310
00902,1,60PRD,057
00903,1,60PRD,010
00904,2,60PRD,110
00905,2,60PRD,058
00906,2,60PRD,062
00907,2,60PRD,017
00908,2,60PRD,073
00909,1,60PRD,160
00910,2,60PRD,055
00911,2,60PRD,
00912,2,60PRD,050
00913,1,60PRD,410
00914,1,60PRD,052
00915,1,60PRD,056
00916,2,60PRD,073
00917,1,60PRD,480
00918,1,60PRD,420
00919,2,60PRD,055
00920,2,60PRD,055
00921,1,60PRD,210
00922,1,60PRD,055
00923,2,60PRD,130
00924,2,60PRD,020
00925,2,60PRD,170
00926,1,60PRD,090
00927,1,60PRD,047
00928,1,60PRD,100
00929,2,60PRD,030
00930,2,60PRD,490
00931,1,60PRD,055
00932,1,60PRD,056
00933,2,60PRD,057
00934,1,60PRD,090
00935,2,60PRD,055
00936,2,60PRD,
00937,1,60PRD,510
00938,2,60PRD,380
00939,1,60PRD,490
00940,2,60PRD,056
00941,2,60PRD,130
00942,2,60PRD,500
00943,2,60PRD,490
00944,1,60PRD,055
00945,2,60PRD,055
00946,1,60PRD,088
00947,2,60PRD,510
00948,1,60PRD,034
00949,1,60PRD,055
00950,1,60PRD,540
00951,1,60PRD,055
00952,2,60PRD,480
00953,1,60PRD,058
00954,1,60PRD,020
00955,2,60PRD,082
00956,2,60PRD,056
00957,2,60PRD,055
00958,2,60PRD,063
00959,2,60PRD,600
00960,2,60PRD,510
00961,1,60PRD,055
00962,2,60PRD,610
00963,2,60PRD,055
00964,2,60PRD,500
00965,2,60PRD,056
00966,1,60PRD,055
00967,2,60PRD,460
00968,2,60PRD,055
00969,2,60PRD,055
00970,2,60PRD,056
00971,1,60PRD,500
00972,1,60PRD,057
00973,2,60PRD,065
00974,2,60PRD,580
00975,2,60PRD,110
00976,2,60PRD,540
00977,2,60PRD,021
00978,2,60PRD,079
00979,2,60PRD,030
00980,1,60PRD,100
00981,2,60PRD,480
00982,2,60PRD,620
00983,2,60PRD,082
00984,1,60PRD,100
00985,1,60PRD,020
00986,1,60PRD,087
00987,2,60PRD,056
00988,2,60PRD,053
00989,1,60PRD,470
00990,1,60PRD,052
00991,2,60PRD,055
00992,2,60PRD,082
00993,1,60PRD,016
00994,1,60PRD,057
00995,1,60PRD,100
00996,1,60PRD,460
00997,1,60PRD,037
00998,1,60PRD,460
00999,2,60PRD,460
01000,1,60PRD,130
01049,2,60PRD,061
01050,2,60PRD,063
01051,2,60PRD,120
01052,2,60PRD,056
01053,2,60PRD,310
01054,2,60PRD,100
01055,1,60PRD,340
01056,2,60PRD,420
01057,1,60PRD,100
01058,2,60PRD,380
01059,1,60PRD,340
01060,2,60PRD,041
01061,2,60PRD,034
01062,1,60PRD,480
01063,2,60PRD,130
01064,2,60PRD,610
01065,2,60PRD,110
01066,2,60PRD,080
01067,2,60PRD,440
01068,2,60PRD,510
01069,2,60PRD,031
01070,2,60PRD,210
01071,2,60PRD,400
01072,2,60PRD,056
01073,2,60PRD,080
01074,2,60PRD,056
01075,1,60PRD,025
01076,2,60PRD,047
01077,1,60PRD,056
01078,2,60PRD,056
01079,2,60PRD,150
01080,2,60PRD,130
01081,2,60PRD,210
01082,2,60PRD,470
01083,1,60PRD,460
01084,2,60PRD,062
01085,1,60PRD,140
01086,1,60PRD,
01087,2,60PRD,056
01088,2,60PRD,480
01089,2,60PRD,130
01090,2,60PRD,500
01091,2,60PRD,055
01092,1,60PRD,550
01093,2,60PRD,075
01094,1,60PRD,055
01095,2,60PRD,510
01096,1,60PRD,100
01097,2,60PRD,350
01098,1,60PRD,160
01099,2,60PRD,440
01100,2,60PRD,130
01101,2,60PRD,000
01102,2,60PRD,480
01103,2,60PRD,460
01104,2,60PRD,490
01105,2,60PRD,530
01106,2,60PRD,210
01107,1,60PRD,100
01108,2,60PRD,056
01109,2,60PRD,480
01110,2,60PRD,160
01111,1,60PRD,270
01112,1,60PRD,051
01113,1,60PRD,480
01114,1,60PRD,500
01115,2,60PRD,130
01116,2,60PRD,073
01117,2,60PRD,058
01118,1,60PRD,370
01119,1,60PRD,140
01120,2,60PRD,056
01121,2,60PRD,140
01122,1,60PRD,110
01123,1,60PRD,120
01124,1,60PRD,470
01125,2,60PRD,014
01126,1,60PRD,460
01127,2,60PRD,067
01128,2,60PRD,470
01129,2,60PRD,340
01130,2,60PRD,100
01131,2,60PRD,400
01132,2,60PRD,160
01133,2,60PRD,055
01134,1,60PRD,044
01135,1,60PRD,053
01136,1,60PRD,540
01137,2,60PRD,020
01138,2,60PRD,490
01139,2,60PRD,140
01140,2,60PRD,056
01141,1,60PRD,062
01142,1,60PRD,260
01143,2,60PRD,510
01144,2,60PRD,063
01145,1,60PRD,500
01146,2,60PRD,
01147,1,60PRD,062
01148,2,60PRD,510
01149,2,60PRD,055
01150,1,60PRD,480
01151,2,60PRD,055
01152,2,60PRD,055
01153,1,60PRD,140
01154,2,60PRD,160
01155,2,60PRD,045
01156,1,60PRD,055
01157,2,60PRD,056
01158,1,60PRD,220
01159,2,60PRD,021
01160,2,60PRD,160
01161,1,60PRD,047
01162,2,60PRD,160
01163,1,60PRD,025
01164,2,60PRD,066
01165,2,60PRD,550
01166,2,60PRD,610
01167,1,60PRD,120
01168,2,60PRD,440
01169,2,60PRD,510
01170,1,60PRD,440
01171,1,60PRD,055
01172,1,60PRD,000
01173,2,60PRD,110
01174,1,60PRD,100
01175,1,60PRD,460
01176,1,60PRD,052
01177,2,60PRD,053
01178,2,60PRD,540
01179,2,60PRD,410
01180,1,60PRD,100
01181,2,60PRD,055
01182,2,60PRD,056
01183,1,60PRD,055
01184,2,60PRD,062
01185,2,60PRD,470
01186,2,60PRD,510
01187,2,60PRD,016
01188,2,60PRD,470
01189,2,60PRD,130
01190,2,60PRD,075
01191,2,60PRD,055
01192,2,60PRD,470
01193,2,60PRD,490
01194,1,60PRD,062
01195,1,60PRD,069
01196,1,60PRD,047
01197,1,60PRD,055
01198,2,60PRD,370
01199,2,60PRD,100
01200,1,60PRD,380
01201,2,60PRD,210
01202,2,60PRD,060
01203,2,60PRD,480
01204,2,60PRD,480
01205,2,60PRD,063
01206,1,60PRD,052
01207,1,60PRD,
01208,2,60PRD,480
01209,2,60PRD,100
01210,1,60PRD,100
01211,1,60PRD,055
01212,1,60PRD,073
01213,2,60PRD,052
