SEQ,RCT_NO,BIZ_UNIT,PD_S_C,BR_C,DE_DT,DE_HR,BUY_AM,BUY_CT
5440,104431,A03,487,187,20150617,16,4940,1
538,103014,A02,230,13,20150721,22,10000,1
2640,298896,A01,420,15,20150215,14,14000,1
28,236353,A02,1067,82,20150421,18,3800,2
4505,470859,A01,2,2,20150131,19,20000,1
1223,119158,A01,111,29,20150731,13,6700,1
4500,70782,A04,149,2962,20151127,9,2800,2
3485,213455,A01,16,2,20150210,12,7000,1
7120,104510,A02,73,13,20150818,14,4900,1
8282,140373,A03,409,355,20150523,13,990,1
11616,229723,A01,210,5,20150421,19,39900,1
1338,168716,A02,335,32,20150615,15,40000,4
6833,64405,A04,56,3024,20151029,16,2300,1
7941,30968,A03,438,412,20151114,16,1090,1
388,104451,A03,110,187,20150618,19,8900,1
14729,5875,A01,208,36,20151010,13,341100,1
7482,306576,A01,55,37,20151119,15,5200,2
12601,42715,A01,182,2,20150126,12,19000,1
4863,75228,A02,898,8,20151214,21,2980,1
5326,21186,A01,438,31,20150822,14,75600,1
2638,194,A01,467,1,20150521,11,19800,2
4599,50657,A01,368,23,20150913,16,248000,1
8335,43024,A03,532,48,20150424,19,4980,1
2079,155704,A03,165,301,20150220,19,9000,2
7877,15088,A01,214,37,20150628,12,119000,1
18696,96192,A02,1486,13,20150306,16,7480,1
19278,121798,A03,14,257,20150618,13,2000,1
5058,428397,A01,19,6,20150629,18,1000,1
10871,90088,A02,906,11,20150922,23,9900,1
6487,175487,A02,1590,37,20150531,18,1500,1
5716,50396,A01,571,45,20150430,12,10800,1
4422,153804,A03,492,295,20150722,20,1020,1
11008,439997,A01,14,5,20150710,18,7600,1
12738,191677,A02,1048,46,20150517,18,4200,1
3529,14377,A04,292,347,20150330,15,2000,1
10646,248481,A02,904,87,20150119,20,15000,10
16083,54116,A04,6,1331,20150917,19,3900,1
4853,231561,A02,1174,77,20150329,13,5280,1
11224,162265,A03,191,319,20150609,20,4000,1
19325,3871,A02,202,3,20150701,20,7990,1
13219,143707,A03,519,396,20150225,20,1150,1
10834,344960,A01,99,47,20150504,13,1500,1
5380,163597,A02,1163,29,20151225,14,750,1
16514,79213,A02,1301,9,20150807,23,2000,1
10680,79166,A01,454,3,20150920,10,1000000,1
696,411415,A01,536,7,20151002,16,840000,1
7115,275529,A01,154,1,20150806,15,10800,1
11412,154292,A02,1495,25,20150605,21,24900,1
15864,168412,A02,120,32,20150509,19,1800,1
6642,153321,A02,1213,25,20150403,12,8980,1
6962,14900,A01,447,4,20150930,11,17500,1
9321,161716,A02,528,29,20150613,17,3850,1
7273,73811,A04,131,1281,20151211,22,7500,5
10397,8010,A03,524,67,20151106,22,1750,1
8923,299218,A02,1442,111,20141231,22,3980,1
2385,76266,A02,1085,9,20150219,13,11800,2
7271,32896,A02,1163,7,20150425,21,2700,1
11994,74807,A01,82,2,20150821,10,2200,1
17152,15458,A01,210,25,20150319,11,12900,1
11798,6404,A04,69,1773,20150210,17,2800,2
14709,115894,A03,411,238,20150224,19,3600,3
16026,262969,A02,1239,92,20151121,13,2450,1
5933,245436,A02,1199,86,20150404,21,6200,1
8808,131757,A02,1211,16,20151010,21,5980,1
18508,144917,A01,121,37,20150721,12,23600,1
7858,145267,A01,208,2,20150816,17,38000,1
11267,29730,A01,427,6,20151117,11,89000,1
12876,318154,A02,1456,127,20150813,18,1620,1
19563,75113,A03,492,107,20151014,15,1990,1
6729,50424,A01,187,1,20150125,16,162000,1
14327,35800,A03,470,29,20150314,16,3950,1
7932,66597,A03,91,98,20151023,20,12000,1
5945,127370,A02,1046,16,20150723,22,2500,1
9100,54717,A03,505,68,20150826,12,500,1
13858,111043,A02,1236,14,20150224,18,2660,1
16321,81103,A02,63,9,20151124,22,5300,2
7076,99810,A01,121,26,20150222,13,8100,1
34,98622,A01,203,28,20151120,15,29900,1
17914,191532,A02,1112,46,20150409,17,3800,1
10183,249752,A02,1431,88,20150128,12,1400,1
2118,462100,A01,1,20,20150404,18,12390,1
9677,104942,A02,913,13,20150828,21,6900,1
13112,86518,A02,1064,11,20150405,12,1400,1
14634,439490,A01,15,29,20150813,19,4900,1
5410,368538,A01,35,18,20150424,16,3990,1
6676,375035,A01,12,37,20151106,20,3500,1
9441,57297,A03,303,72,20150703,15,4980,1
4694,458596,A01,18,9,20150327,20,5000,1
3066,34190,A03,46,23,20150529,15,1480,1
14026,387268,A01,33,31,20151022,17,12000,1
3942,72505,A02,679,8,20150715,15,380,1
16784,168677,A02,1445,32,20150610,23,2780,1
2942,306589,A01,123,37,20150716,19,9000,1
5636,193568,A02,227,47,20151224,20,2900,1
6286,310491,A02,1068,119,20150121,16,1750,1
2079,118701,A01,132,1,20151218,14,40000,1
2687,125400,A03,486,267,20150303,16,2600,1
156,29406,A02,897,7,20150402,17,3880,1
12534,42763,A01,164,1,20150730,16,212500,1
1269,30499,A04,280,4663,20150614,2,4500,3
10624,118419,A03,405,471,20150605,21,990,1
5124,42099,A01,78,2,20150208,12,15000,1
1329,120015,A03,97,252,20150701,22,7990,1
7604,75731,A02,273,9,20150117,20,13000,2
16450,205955,A01,210,2,20150730,16,9900,1
4795,99264,A03,776,183,20150519,19,440,1
1938,413242,A01,19,7,20150827,17,3500,1
385,104917,A02,1233,13,20150827,17,1700,2
9727,305311,A02,377,114,20150902,11,40000,4
5376,241554,A01,82,4,20150330,15,6000,2
11855,157587,A03,52,303,20150703,20,690,1
4345,304467,A01,145,3,20150921,18,36000,1
8504,16457,A01,256,1,20151227,13,45300,1
14850,136949,A03,23,341,20150819,14,918,1
12404,414128,A01,18,15,20151227,15,6000,1
3622,27169,A04,152,347,20150531,18,2000,1
4902,404412,A01,145,1,20150505,18,165000,1
2214,222425,A02,189,70,20150224,16,23400,3
334,23113,A02,1052,7,20150216,16,10000,1
6566,110210,A02,1047,13,20151220,20,6200,1
18331,72633,A02,1445,8,20150720,15,3200,1
6047,158462,A02,679,27,20150116,21,600,1
17693,68629,A02,1365,7,20151225,18,9120,4
10925,159919,A02,1435,28,20150416,21,2950,1
13110,240480,A01,210,25,20151113,12,19900,1
15787,16212,A01,558,43,20150821,15,55300,1
12333,74574,A01,571,35,20150815,13,41800,1
3592,7652,A01,201,1,20150725,15,444500,1
5856,50692,A01,158,50,20151220,15,30000,1
13413,42938,A01,190,44,20150924,15,210500,1
9071,314489,A02,251,124,20150428,16,5000,1
11173,48283,A03,45,68,20150109,17,1990,1
10116,218199,A02,993,67,20150421,16,6000,2
13090,11257,A02,1163,6,20150413,20,1980,1
6268,46463,A02,1233,7,20150722,12,4070,1
552,60879,A01,222,2,20151111,16,79000,1
10420,199181,A02,1377,51,20150225,21,5162,178
7003,357891,A01,451,27,20150803,18,13000,1
16882,92871,A01,76,21,20150712,13,15000,1
18752,79824,A02,987,9,20150909,21,4900,1
7656,187137,A01,53,29,20150528,18,10000,1
5295,15069,A02,1229,6,20151110,22,7900,1
6317,414021,A01,82,1,20150109,19,12000,3
1156,80369,A03,469,116,20150729,17,1250,1
3028,160078,A02,51,28,20151107,13,3780,1
5453,28875,A02,830,7,20150329,13,6900,1
12136,270763,A02,879,95,20151212,14,20130,1220
1962,99972,A02,1068,13,20150521,18,840,1
4356,343992,A01,82,1,20151107,14,3000,1
16379,73065,A01,121,2,20150514,13,9000,1
7910,255843,A02,586,89,20150828,20,4000,2
9795,449688,A01,71,20,20151008,15,800,1
999,61017,A01,112,4,20150923,11,6000,1
9928,79555,A02,1440,9,20150824,14,3980,1
2558,55382,A01,145,16,20151217,15,84000,1
5624,60845,A03,19,84,20151001,14,3990,1
15666,181342,A02,1145,40,20150812,16,3000,1
6278,75727,A04,272,4,20151222,12,2600,2
8596,106920,A03,681,194,20150626,12,9480,1
10207,107314,A03,285,196,20150815,13,4980,1
7250,257439,A02,1049,89,20151226,17,5900,1
1405,47560,A03,45,67,20150925,21,2390,1
9145,440856,A01,82,37,20150718,18,1500,1
5996,4905,A04,143,1185,20150201,13,3500,1
18432,95055,A03,429,166,20150829,20,2000,2
16695,119275,A03,429,472,20151005,17,1290,1
12596,317219,A02,1443,127,20150322,14,4800,2
4215,4063,A02,31,3,20150724,16,4200,1
6703,309520,A02,1443,118,20150301,20,2000,1
8079,3827,A01,301,22,20151207,10,395000,1
6599,45364,A01,160,46,20150208,14,6000,1
1132,151043,A03,895,287,20151008,11,1000,1
13408,82244,A03,887,119,20150716,20,2000,2
1106,147759,A02,479,21,20150802,19,9000,9
3778,169322,A01,16,20,20150728,18,10000,1
750,301758,A02,855,113,20150217,11,43220,1168
4322,64242,A03,1,97,20150408,20,369000,10
12069,302892,A02,1215,113,20150830,14,960,1
11020,27332,A03,302,13,20150430,16,5990,1
13709,272678,A02,1244,96,20150803,13,2650,1
5805,43456,A04,289,3027,20150807,10,1550,1
5944,47213,A02,1472,7,20150728,16,2900,1
13230,7617,A05,28,34,20151222,22,3000,1
7120,100869,A02,876,13,20150609,14,990,100
4356,82944,A03,516,121,20150427,20,1990,1
17218,61274,A03,342,87,20150413,18,1450,1
2823,361032,A01,21,2,20150810,17,6980,1
16742,6944,A04,56,1674,20150213,1,1900,1
5544,68792,A02,269,7,20151226,14,7500,1
13704,212261,A02,62,57,20151121,20,24180,1
1564,166695,A01,482,11,20150822,11,10000,1
8037,40389,A02,1447,7,20150613,21,14000,1
9263,10532,A01,421,9,20150426,15,119000,1
3925,6730,A01,318,2,20150302,13,143000,1
8882,27931,A01,76,37,20150331,17,6000,2
13682,119962,A02,898,16,20150227,15,1430,1
11289,22688,A03,407,310,20151221,20,1040,1
8433,149120,A03,21,536,20150511,17,990,1
3762,62384,A04,511,632,20151021,14,20,1
13194,315082,A01,467,2,20150430,14,59200,1
2942,123445,A01,77,37,20150322,13,1350,1
4319,70235,A02,1057,8,20150309,17,2500,1
17792,37305,A03,68,34,20150114,16,1390,1
4003,94002,A02,1183,13,20150119,16,910,1
3934,1009,A02,933,1,20150812,21,11990,1
3717,400573,A01,210,12,20151115,19,34900,1
10601,286727,A02,878,106,20150430,12,3040,1
5800,99346,A01,146,2,20151114,14,75000,1
320,79057,A03,35,116,20150415,15,2990,1
10087,69877,A04,3,1246,20151123,15,2000,1
12696,40237,A03,150,40,20150127,14,4990,1
15035,16265,A04,300,632,20150409,21,1000,1
16518,314877,A02,54,124,20150915,22,4080,6
8178,305463,A02,1460,114,20150922,17,1180,1
6823,15006,A04,62,1872,20150402,14,1800,1
15793,197260,A02,1099,50,20150422,11,900,1
18735,213247,A02,1157,59,20151104,20,20000,2
835,283817,A02,7,106,20150104,12,2500,1
19671,178962,A02,879,40,20150324,16,6363,606
4014,60815,A02,1437,7,20151101,20,4350,1
17212,287997,A02,489,106,20150616,21,8900,1
5946,181314,A02,1200,40,20150811,16,5400,1
2381,368494,A01,19,1,20151115,16,6500,1
12653,40774,A04,288,2122,20150728,11,500,1
14782,184439,A02,307,42,20150712,11,19800,2
18324,76198,A03,68,110,20150408,15,2490,1
6452,32599,A03,308,20,20150506,17,3700,1
8867,296827,A02,1194,109,20150416,14,8700,2
6722,73396,A02,75,8,20150830,19,3500,1
3852,1527,A04,103,2242,20150111,18,1000,1
991,458819,A01,6,2,20150110,19,17010,1
4998,83663,A03,628,124,20150326,14,2500,1
5318,29529,A01,300,2,20150728,15,60000,1
15311,156616,A02,1163,25,20151030,23,1960,2
10215,278987,A02,1208,101,20150301,17,1300,1
9799,252798,A02,679,89,20150124,20,850,1
4389,45933,A03,497,63,20150509,18,9980,1
904,148892,A02,1241,23,20141231,17,3000,1
19672,124380,A03,428,492,20150610,13,1690,1
718,309827,A02,1049,118,20150609,11,5500,1
4273,7458,A01,228,24,20151105,13,275000,1
12707,309045,A02,882,117,20150910,13,3500,1
6863,212374,A02,1060,57,20151219,21,3650,1
18847,129240,A03,278,322,20150811,16,5980,1
8009,301604,A02,1620,113,20150123,16,1500,1
14371,344935,A01,18,2,20150413,14,4980,1
3005,264036,A01,479,2,20150314,13,12000,1
8336,149050,A02,550,23,20150429,14,9900,1
3642,129689,A02,204,16,20150829,15,20000,2
2859,313919,A01,615,1,20150312,15,50,1
14638,28781,A01,218,31,20150921,13,29000,1
17379,259152,A01,575,47,20150908,15,29000,1
4660,435941,A01,1,2,20151011,17,20000,1
12330,10632,A02,86,6,20150311,13,990,1
2741,59613,A02,893,7,20151023,15,1880,1
3730,167809,A02,6,32,20150228,17,2360,2
3489,268648,A02,920,94,20150516,20,13000,2
8812,5580,A05,85,23,20150821,21,9000,1
5589,39170,A04,268,3059,20150720,23,1900,1
6964,23869,A03,119,334,20151113,13,3990,1
964,276340,A02,1582,98,20150807,12,2200,4
18000,10776,A02,897,6,20150318,15,2000,1
4505,73615,A04,131,1315,20151211,20,3300,1
9233,281551,A02,1599,103,20150725,13,92000,1
6032,331770,A01,94,4,20150426,18,4500,1
13712,164684,A02,524,30,20150604,18,3000,1
11306,138402,A02,1157,18,20151210,16,12900,2
857,441187,A01,132,20,20150406,15,10000,1
9413,33415,A03,225,21,20150908,19,2490,1
5475,169852,A02,1446,32,20151019,14,1150,1
7165,166479,A02,1048,31,20150418,14,6650,1
9865,358140,A01,210,15,20150515,18,12900,1
19355,78058,A02,3,9,20150603,22,11000,1
9443,160779,A02,1070,29,20150302,15,3500,1
9329,1661,A02,1301,2,20150129,20,9990,1
6343,7823,A01,535,43,20151001,13,608500,1
2896,400473,A01,106,1,20151207,17,12200,1
18799,208206,A02,1616,55,20151206,16,9500,1
5711,148388,A02,136,21,20151220,13,6400,5
14145,86062,A03,488,131,20150603,20,990,1
12095,304117,A02,1154,114,20150325,19,800,8
19755,16690,A04,286,776,20150411,9,1700,1
5824,151870,A03,407,289,20150722,11,990,1
11059,2542,A04,131,4006,20150117,22,1200,1
1516,87672,A02,929,11,20150531,18,9900,1
19631,141327,A03,493,357,20151006,21,1000,1
1900,364129,A01,21,25,20151012,18,4500,1
19558,156679,A03,24,301,20150722,11,5980,1
9822,183182,A01,575,2,20150215,13,133000,1
5118,143876,A01,367,2,20150214,11,60000,2
750,49604,A01,132,6,20150530,13,8500,1
7633,229800,A02,988,75,20150228,13,2980,1
17005,138222,A01,570,2,20151101,12,24000,1
13510,244033,A02,1551,85,20150917,22,6000,6
4273,5922,A02,196,4,20150321,21,6990,1
16488,156199,A02,1232,25,20150925,17,4980,1
2670,126910,A02,1486,16,20150716,22,7980,1
13798,71699,A04,91,2105,20151202,15,3900,1
16855,216505,A01,9,30,20151029,16,1300,1
7401,132796,A02,779,16,20151031,19,3900,1
2820,439895,A01,20,20,20150619,17,17800,2
7658,45919,A03,510,63,20150505,16,9500,1
13391,22986,A03,568,319,20151218,21,12000,1
10095,294071,A01,18,37,20150605,19,54000,1
16629,31656,A02,218,7,20150417,18,2400,1
18656,43194,A03,469,48,20150709,18,1300,1
6063,276788,A02,61,98,20151203,17,2400,2
2427,255976,A02,1620,89,20150906,11,2000,2
1286,7379,A01,563,2,20150415,12,139000,1
2361,121540,A02,805,16,20150402,17,5250,1
5813,478280,A01,71,20,20151009,19,10000,1
6816,149457,A02,893,23,20151208,18,1880,1
14800,16318,A01,145,10,20150825,14,60000,1
14385,171994,A02,817,33,20151017,16,6900,1
4154,7900,A01,215,20,20150523,12,57000,3
6799,92958,A03,265,157,20150104,18,5000,1
6015,412601,A01,31,10,20150719,17,30000,1
10362,117019,A01,130,2,20151101,15,49000,1
4084,137541,A02,1444,18,20150624,18,4950,1
17031,108881,A03,466,205,20150802,19,6240,1
15566,79244,A03,505,116,20150429,20,800,2
4841,14667,A03,425,133,20151120,20,1100,1
12516,213437,A02,601,60,20150325,15,11700,1
847,148886,A01,55,37,20151228,12,2350,1
13714,106204,A02,1472,13,20150921,11,2100,1
18923,21706,A03,568,301,20151105,11,4300,1
12098,313927,A01,35,7,20150313,14,4700,1
8906,36750,A03,508,33,20150118,21,990,1
12938,35054,A03,306,24,20151006,21,1000,1
10687,16567,A01,77,12,20150104,10,2800,1
9277,119393,A03,45,473,20151007,16,1290,1
2575,14023,A03,267,121,20151126,15,9042,1
19311,106019,A01,189,23,20151206,18,279000,1
15380,240980,A02,1250,83,20151101,16,4500,1
2548,136115,A03,379,340,20150402,13,1590,1
11719,149679,A02,388,24,20150125,14,79800,2
19302,239908,A02,896,83,20150729,17,3980,1
3165,440782,A01,31,25,20150508,19,12000,1
19655,148790,A03,146,535,20150422,17,3990,1
13871,452666,A01,31,29,20151108,18,10800,1
12763,39759,A03,46,38,20150217,18,2490,1
680,4567,A03,407,13,20151113,16,5970,3
17483,157543,A02,247,26,20150116,18,6000,1
16878,96604,A03,251,173,20150411,18,19992,2
7076,107925,A02,1456,13,20151031,16,1860,1
17422,42828,A01,308,44,20150520,15,35000,1
8613,88388,A03,19,138,20150805,10,600,1
13167,3956,A05,76,15,20151018,14,1000,1
2139,189059,A01,124,2,20151112,18,33000,1
3256,50869,A02,205,7,20150819,15,4000,1
3795,136928,A03,20,341,20150731,19,2990,1
18664,315765,A02,1080,125,20150718,15,3000,1
3023,276371,A02,583,98,20150815,21,1800,1
4209,156379,A03,93,301,20150605,14,15900,1
11744,108349,A02,388,13,20151109,15,200,1
7026,21299,A01,95,2,20150529,10,9000,1
5015,265759,A02,169,93,20150630,15,7500,1
1727,401377,A01,232,1,20150301,15,14000,2
19048,227892,A02,1215,73,20150912,13,4100,1
158,99154,A03,26,183,20150502,18,1390,1
10256,179995,A02,1154,40,20150523,23,3500,1
1340,375033,A01,55,2,20150512,14,6240,1
14884,184657,A02,1154,42,20150913,20,50,5
6485,172187,A01,540,2,20150625,12,39000,1
2682,296494,A02,1050,109,20150119,16,2600,1
8532,23438,A01,146,26,20151125,12,35000,1
3223,145834,A02,76,20,20150620,13,10900,2
18284,220830,A01,107,37,20150227,15,10000,1
7834,145716,A02,1432,20,20150530,12,940,1
12098,30140,A01,145,7,20150216,12,117000,1
6541,80855,A02,573,9,20151112,22,6000,1
7257,88736,A03,879,138,20151020,17,9000,2
16425,133109,A02,1300,16,20151106,23,7120,2
5257,21312,A02,1161,7,20150204,13,1000,1
1449,130599,A02,1177,16,20150916,23,2880,1
11016,101869,A01,13,1,20150730,13,5500,1
8644,9796,A01,486,29,20150323,11,15800,1
16979,229252,A02,76,74,20150824,17,4900,1
5611,56078,A03,306,68,20151015,19,9700,1
15294,69731,A04,273,3485,20151122,9,2900,1
7596,76849,A03,486,112,20150209,15,1500,2
12017,315068,A01,86,10,20150726,14,5200,1
1343,458432,A01,498,20,20150626,14,30000,2
3826,410683,A01,21,30,20150215,20,3980,1
5054,49405,A02,1160,7,20150810,19,8900,1
9097,39787,A04,125,371,20150724,9,2400,1
4923,153703,A02,619,25,20150427,16,13930,1
10114,39297,A04,56,607,20150722,12,5000,5
19640,142688,A03,488,362,20150410,20,850,1
12938,34575,A03,491,24,20150124,21,5480,1
7510,122449,A03,535,258,20150114,12,6050,1
12455,459429,A01,18,22,20150314,17,10000,1
3450,144668,A03,48,407,20150217,13,1242,1
4913,143626,A01,2,2,20150609,11,10000,1
7474,9034,A04,1,2185,20150227,19,900,1
8517,480299,A01,60,2,20150119,20,6000,1
6649,51254,A01,595,2,20150706,14,29000,1
4516,203891,A02,1233,53,20150710,21,2480,2
4710,41625,A03,302,44,20150204,20,2580,1
113,65441,A02,767,7,20151203,18,4000,1
3173,118719,A01,107,20,20150911,13,24800,1
1391,50546,A01,166,14,20150329,16,304600,1
10144,93592,A03,47,159,20150408,17,1590,1
7939,295647,A02,189,108,20150517,11,7900,1
7306,175693,A02,211,37,20150831,18,12780,1
752,313412,A01,589,6,20151004,13,259450,1
15105,66374,A03,415,98,20150206,20,2000,1
11730,40849,A01,164,2,20150510,19,865500,1
11541,284694,A02,786,106,20150210,16,2980,1
11098,59659,A01,211,39,20150419,15,383400,1
2890,100404,A02,847,13,20150531,19,22276,2
4680,107365,A02,1472,13,20151019,16,5200,2
5359,304813,A01,13,1,20150630,18,3000,1
4500,65705,A04,140,2962,20151104,15,3000,1
3243,149064,A03,63,536,20150413,23,990,1
3955,220306,A02,1239,68,20151113,17,7350,3
15489,58759,A04,56,657,20151006,8,2300,1
107,373675,A01,20,12,20150212,14,4900,1
800,352469,A01,20,31,20150908,14,3900,1
11223,42535,A01,206,4,20150607,16,9900,1
8505,285472,A02,5,106,20150311,13,2000,1
2468,126856,A02,1198,16,20150715,14,7000,1
4184,156315,A02,1199,25,20151009,21,3450,1
13800,476156,A01,106,2,20150111,20,10000,1
5154,468972,A01,71,2,20150809,17,4000,4
16087,263564,A02,1180,93,20150124,22,1980,1
5357,359296,A01,54,4,20150628,17,12500,1
13616,428,A05,40,3,20150402,21,3700,1
8915,18981,A02,1102,7,20150119,16,1100,1
10043,294458,A02,868,107,20150814,18,6900,1
16582,60805,A03,403,84,20150901,15,2730,1
6957,72309,A01,145,3,20150117,17,45000,1
15969,1032,A03,430,1,20150920,12,1800,2
15646,76049,A03,628,108,20150902,13,3000,1
14403,51424,A01,210,39,20150402,11,25000,1
4538,368639,A01,77,4,20150211,18,750,1
9623,75449,A02,1166,9,20141229,15,1650,1
13894,53514,A03,441,68,20150716,13,1780,1
19407,167302,A02,514,32,20150101,17,1000,1
9928,80398,A02,35,9,20151016,20,3180,1
14771,137536,A03,570,343,20150305,16,990,1
3636,9564,A04,183,146,20150303,12,850,1
742,60363,A01,446,1,20150222,14,39900,1
14049,291332,A02,1453,106,20151020,22,3800,1
5073,108363,A02,1460,13,20151110,21,5760,6
3076,176794,A02,1433,39,20150128,21,970,1
4668,11039,A03,68,96,20151207,17,990,1
15792,169688,A02,774,32,20150925,22,10000,1
15936,293299,A02,1242,107,20150123,13,3000,1
1427,154705,A03,71,297,20151003,15,1790,1
3813,34007,A03,493,23,20150312,19,4800,1
9536,400731,A01,60,12,20150225,17,3800,1
2039,439833,A01,99,36,20150702,18,5800,1
5872,374981,A01,615,2,20151020,14,50,1
6509,8485,A02,1112,5,20150427,14,4490,1
8916,120865,A03,23,482,20150113,14,1990,1
5341,177730,A02,1381,40,20150117,17,6900,1
4247,161117,A03,895,315,20150528,17,100,1
11173,49381,A03,424,68,20150217,17,7000,20
1264,49484,A01,210,37,20150701,10,9900,1
7755,384314,A01,18,2,20150723,16,10000,1
16893,22867,A01,195,23,20151008,11,199000,1
1785,133368,A01,107,20,20150721,13,6700,1
9215,318643,A01,210,29,20150807,20,19900,1
5810,158415,A02,384,27,20150104,15,130000,13
14869,305636,A02,679,114,20151016,16,450,1
1013,114344,A03,505,231,20150714,22,1000,2
1325,6162,A01,222,4,20150624,13,79000,1
3730,168324,A02,759,32,20150501,17,2215,1
11105,147435,A02,1620,21,20150530,20,10000,5
10014,116999,A01,400,20,20151001,19,188000,1
7044,92624,A02,62,12,20150818,19,4010,1
11081,415197,A01,55,29,20150628,19,5000,1
17365,210820,A02,693,57,20150224,13,1900,1
1245,102007,A02,924,13,20150701,10,19800,1
7534,205309,A01,77,26,20150625,12,980,1
756,50780,A03,23,68,20150413,18,3786,1
2438,73690,A03,394,107,20150819,20,3990,1
2041,117788,A03,35,247,20150926,10,2990,1
10050,108796,A02,1399,13,20151119,16,15800,1
6914,242022,A01,122,44,20150813,21,63540,1
6752,116710,A02,610,15,20151113,19,14400,1
2493,35406,A03,266,27,20150825,18,3019,1
19013,38029,A02,1222,7,20150529,13,5980,1
6590,75307,A02,1232,8,20151219,17,10960,2
5257,98748,A03,489,183,20150313,15,4850,1
16176,64535,A03,435,463,20151111,12,2490,1
18726,364572,A01,21,37,20151226,15,1900,1
5672,104972,A01,292,16,20150405,15,158000,1
1787,238322,A02,1434,83,20150306,20,1540,1
6706,135730,A02,1436,16,20151222,23,3200,1
4010,299316,A02,1095,111,20150124,17,1600,1
11179,210769,A02,810,57,20150216,22,6900,1
5234,78826,A02,64,9,20150718,15,38700,3
10917,265790,A02,1442,93,20150702,20,4580,1
11402,4006,A01,145,10,20151023,10,2000,1
5302,2164,A02,1282,2,20150904,15,29990,1
14274,140704,A03,570,523,20150312,10,990,1
8802,169930,A02,1587,32,20151028,17,5480,1
7230,2681,A01,446,2,20150621,11,25000,1
6103,70849,A03,562,107,20150428,14,1400,1
4086,298133,A01,9,7,20151005,14,2550,1
1962,100115,A02,1436,13,20150525,15,3350,1
15611,280734,A02,1087,103,20150227,21,590,1
17059,289831,A02,1179,106,20150819,20,7000,1
5508,73820,A03,15,107,20150824,13,1000,2
5050,306903,A01,460,41,20150426,17,44100,1
13337,215228,A02,1345,61,20151205,14,26500,1
7049,103590,A03,14,187,20150413,13,2000,2
1882,23225,A02,231,7,20150217,20,10000,1
19509,65462,A03,895,490,20151106,11,2000,1
